method,success_count,task_count,success_rate,seen_success_count,seen_task_count,seen_success_rate,unseen_success_count,unseen_task_count,unseen_success_rate,macro_success_rate
vanilla_opd_step250,218,274,0.7956204379562044,115,140,0.8214285714285714,103,134,0.7686567164179104,0.795042643923241
tcod_f2b_step250,232,274,0.8467153284671532,122,140,0.8714285714285714,110,134,0.8208955223880597,0.8461620469083155
tau0.050_4gpu,224,274,0.8175182481751825,117,140,0.8357142857142857,107,134,0.7985074626865671,0.8171108742004265
tau0.075_4gpu,220,274,0.8029197080291971,115,140,0.8214285714285714,105,134,0.7835820895522388,0.8025053304904051
tau0.100_4gpu,238,274,0.8686131386861314,123,140,0.8785714285714286,115,134,0.8582089552238806,0.8683901918976547
tau0.125_4gpu,226,274,0.8248175182481752,118,140,0.8428571428571429,108,134,0.8059701492537313,0.8244136460554371
tau0.125_8gpu,222,274,0.8102189781021898,115,140,0.8214285714285714,107,134,0.7985074626865671,0.8099680170575693
step80_to_immediate_vanilla,211,274,0.7700729927007299,108,140,0.7714285714285715,103,134,0.7686567164179104,0.770042643923241
step80_to_linear_anneal,224,274,0.8175182481751825,118,140,0.8428571428571429,106,134,0.7910447761194029,0.8169509594882729
