left,right,split,task_count,both_success,left_only_success,right_only_success,both_failure,mcnemar_exact_pvalue
tau0.075_4gpu,tau0.100_4gpu,all,274,213,7,25,29,0.0021024015732109547
tau0.075_4gpu,tau0.100_4gpu,seen,140,111,4,12,13,0.076812744140625
tau0.075_4gpu,tau0.100_4gpu,unseen,134,102,3,13,16,0.021270751953125
tau0.075_4gpu,tau0.125_4gpu,all,274,203,17,23,31,0.42959050784338615
tau0.075_4gpu,tau0.125_4gpu,seen,140,105,10,13,12,0.6776394844055176
tau0.075_4gpu,tau0.125_4gpu,unseen,134,98,7,10,19,0.629058837890625
tau0.075_4gpu,tau0.125_8gpu,all,274,202,18,20,34,0.8714146793645341
tau0.075_4gpu,tau0.125_8gpu,seen,140,107,8,8,17,1.0
tau0.075_4gpu,tau0.125_8gpu,unseen,134,95,10,12,17,0.8318119049072266
tau0.075_4gpu,step80_to_immediate_vanilla,all,274,196,24,15,39,0.19959086691960692
tau0.075_4gpu,step80_to_immediate_vanilla,seen,140,101,14,7,18,0.18924713134765625
tau0.075_4gpu,step80_to_immediate_vanilla,unseen,134,95,10,8,21,0.8145294189453125
tau0.075_4gpu,step80_to_linear_anneal,all,274,195,25,29,25,0.6834892282353375
tau0.075_4gpu,step80_to_linear_anneal,seen,140,103,12,15,10,0.7011080384254456
tau0.075_4gpu,step80_to_linear_anneal,unseen,134,92,13,14,15,1.0
tau0.100_4gpu,tau0.125_4gpu,all,274,217,21,9,27,0.04277394525706768
tau0.100_4gpu,tau0.125_4gpu,seen,140,112,11,6,11,0.332305908203125
tau0.100_4gpu,tau0.125_4gpu,unseen,134,105,10,3,16,0.09228515625
tau0.100_4gpu,tau0.125_8gpu,all,274,211,27,11,25,0.013852965261321515
tau0.100_4gpu,tau0.125_8gpu,seen,140,111,12,4,13,0.076812744140625
tau0.100_4gpu,tau0.125_8gpu,unseen,134,100,15,7,12,0.13380050659179688
tau0.100_4gpu,step80_to_immediate_vanilla,all,274,206,32,5,31,7.427530363202095e-06
tau0.100_4gpu,step80_to_immediate_vanilla,seen,140,106,17,2,15,0.000728607177734375
tau0.100_4gpu,step80_to_immediate_vanilla,unseen,134,100,15,3,16,0.007537841796875
tau0.100_4gpu,step80_to_linear_anneal,all,274,208,30,16,20,0.054076031858869555
tau0.100_4gpu,step80_to_linear_anneal,seen,140,109,14,9,8,0.4048728942871094
tau0.100_4gpu,step80_to_linear_anneal,unseen,134,99,16,7,12,0.0931396484375
tau0.125_4gpu,tau0.125_8gpu,all,274,207,19,15,33,0.6075913612730801
tau0.125_4gpu,tau0.125_8gpu,seen,140,108,10,7,15,0.629058837890625
tau0.125_4gpu,tau0.125_8gpu,unseen,134,99,9,8,18,1.0
tau0.125_4gpu,step80_to_immediate_vanilla,all,274,199,27,12,36,0.023702702470473014
tau0.125_4gpu,step80_to_immediate_vanilla,seen,140,102,16,6,16,0.052478790283203125
tau0.125_4gpu,step80_to_immediate_vanilla,unseen,134,97,11,6,20,0.332305908203125
tau0.125_4gpu,step80_to_linear_anneal,all,274,205,21,19,29,0.8746293123804207
tau0.125_4gpu,step80_to_linear_anneal,seen,140,109,9,9,13,1.0
tau0.125_4gpu,step80_to_linear_anneal,unseen,134,96,12,10,16,0.8318119049072266
tau0.125_8gpu,step80_to_immediate_vanilla,all,274,197,25,14,38,0.10812902140605729
tau0.125_8gpu,step80_to_immediate_vanilla,seen,140,101,14,7,18,0.18924713134765625
tau0.125_8gpu,step80_to_immediate_vanilla,unseen,134,96,11,7,20,0.480682373046875
tau0.125_8gpu,step80_to_linear_anneal,all,274,199,23,25,27,0.8854334972865132
tau0.125_8gpu,step80_to_linear_anneal,seen,140,106,9,12,13,0.6636238098144531
tau0.125_8gpu,step80_to_linear_anneal,unseen,134,93,14,13,14,1.0
step80_to_immediate_vanilla,step80_to_linear_anneal,all,274,192,19,32,31,0.09191454981585423
step80_to_immediate_vanilla,step80_to_linear_anneal,seen,140,100,8,18,14,0.07551869750022888
step80_to_immediate_vanilla,step80_to_linear_anneal,unseen,134,92,11,14,17,0.6900379657745361
