stage,directory,success_count,success_rate,seen_success_rate,unseen_success_rate,average_env_rounds,action_parse_valid_rate,action_admissible_rate,observation_unchanged_rate,repeated_action_rate,env_timeout
Student init,student_init_seed42,27,0.09854014598540146,0.1,0.09701492537313433,27.77007299270073,0.6110705596107047,0.4904755220448647,0.4679009251089548,0.41146259458303286,0.9014598540145985
Offline 30,offline30_seed42,102,0.3722627737226277,0.37857142857142856,0.3656716417910448,21.56934306569343,0.75243309002433,0.64943441088514,0.3631995133819948,0.3401003649635035,0.6277372262773723
Offline 30 + online 220,offline30_online220_seed42,201,0.7335766423357665,0.7857142857142857,0.6791044776119403,13.335766423357665,0.8993917274939164,0.8515037223522626,0.1315186536901865,0.12284063260340629,0.2664233576642336
