method,trainer_step,actor/pg_loss,actor/final_loss,actor/ppo_kl,actor/grad_norm,actor/pg_clipfrac,actor/lr,perf/total_num_tokens,sample/model_version/mean,final_loss_rolling_mean_11
Fixed tau=0.1,1,0.1356643489561975,0.1356643484905362,0.0005185366571822669,16.946054458618164,0.0026604679005686194,1e-06,168470.0,0.0,0.06664502796801654
Fixed tau=0.1,2,0.10842733848839999,0.10842733904719352,-0.0001803951354304445,17.391611099243164,0.0034852011827751993,1e-06,180314.0,0.0,0.05990525862984198
Fixed tau=0.1,3,0.04979532596189529,0.04979532561264932,0.0015607645905220124,12.244245529174805,0.0025067688184208237,1e-06,335216.0,2.0,0.05941087229961521
Fixed tau=0.1,4,0.02567047414115884,0.02567047420465811,0.0007772810594443316,10.322063446044922,0.001141382127322934,1e-06,455120.0,2.0,0.055411141089953486
Fixed tau=0.1,5,0.04511301793778936,0.04511301778256893,0.0012102107676683874,12.496160507202148,0.01049215127972679,1e-06,345196.0,3.0,0.05209697849820751
Fixed tau=0.1,6,0.035199662722233266,0.035199662670493126,7.905754803990325e-06,12.012837409973145,0.0018441519932821393,1e-06,375808.0,5.0,0.054482328240579705
Fixed tau=0.1,7,0.01946664267840485,0.019466642600794632,0.001121747572710774,6.715089797973633,0.0019311260984977707,1e-06,487372.0,5.0,0.05122982569283336
Fixed tau=0.1,8,0.05595016818759697,0.05595016798802784,-0.00035262810082973113,13.81391716003418,0.004046140537996378,1e-06,258173.0,6.0,0.04374566942062859
Fixed tau=0.1,9,0.023413291581991045,0.023413291412659666,0.0005746198237995321,10.409658432006836,0.0016668773235075853,1e-06,461133.0,8.0,0.04077636096389309
Fixed tau=0.1,10,0.022269515320658684,0.022269515172493728,0.00279388848205351,7.625553607940674,0.022966267075389624,1e-06,465278.0,8.0,0.0431046002778587
Fixed tau=0.1,11,0.07833582682845493,0.07833582566430171,0.0026036482110309103,13.041596412658691,0.015271763239676753,1e-06,246520.0,9.0,0.04246772829846556
Fixed tau=0.1,12,0.0998868209309876,0.0998868204653263,0.0005658458670950494,19.816804885864258,0.0034122888231649996,1e-06,193994.0,11.0,0.04429796400266463
Fixed tau=0.1,13,0.02610162002965808,0.026101620052941144,0.0005667569108481985,10.659114837646484,0.00336358854547143,1e-06,400462.0,11.0,0.045442184133276775
Fixed tau=0.1,14,0.01713293253564271,0.017132932588558768,0.0005027325847880671,8.956501007080078,0.0020593219563703647,1e-06,460060.0,12.0,0.042320618882379216
Fixed tau=0.1,15,0.05128110712394118,0.051281106658279896,0.0022801137086259715,13.704422950744629,0.004526971174137933,1e-06,270623.0,14.0,0.04184046180296472
Fixed tau=0.1,16,0.03810742611272468,0.03810742600924439,-0.0003060521477083158,12.415879249572754,0.006613794765952561,1e-06,378794.0,14.0,0.04336725241340233
Fixed tau=0.1,17,0.05533225554972887,0.05533225541668279,0.001446708882992555,13.349372863769531,0.0052412264547976,1e-06,260414.0,15.0,0.03921945586043539
Fixed tau=0.1,18,0.032053064115138516,0.032053064037528306,0.0003761658315650291,12.405097961425781,0.0037008496777464948,1e-06,379848.0,17.0,0.03411722917320299
Fixed tau=0.1,19,0.021612950251437724,0.02161295022815466,0.0011674217937979847,8.476295471191406,0.007406734535470605,1e-06,426180.0,17.0,0.03463800762550203
Fixed tau=0.1,20,0.018131563725364685,0.01813156353910017,0.0005624192206141743,10.766127586364746,0.005503606493584811,1e-06,413859.0,19.0,0.0370274765258019
Fixed tau=0.1,21,0.039064211974618956,0.039064211887307465,0.002664900861418573,8.926114082336426,0.011565731780137867,1e-06,324263.0,19.0,0.03342922865873267
Fixed tau=0.1,22,0.03271006386623614,0.03271006358166536,0.0005889133479083992,11.050702095031738,0.01085874461568892,1e-06,361314.0,20.0,0.031498042609063456
Fixed tau=0.1,23,0.043762327205123644,0.04376232690576996,0.00037905418763070235,14.06252670288086,0.0036140484901677284,1e-06,294730.0,22.0,0.02783695901394606
Fixed tau=0.1,24,0.03183018314464587,0.03183018302823055,0.0004726658058239587,15.103222846984863,0.008563274517655373,1e-06,386858.0,22.0,0.027090926163919005
Fixed tau=0.1,25,0.04341709055006504,0.04341709049185738,0.00018603487842483446,13.950610160827637,0.004838551831198856,1e-06,310647.0,23.0,0.02655231389008309
Fixed tau=0.1,26,0.011700380154913793,0.011700380120518357,0.0017564404185618928,6.6424407958984375,0.004237252605062994,1e-06,458610.0,25.0,0.02673935571906338
Fixed tau=0.1,27,0.016864379666609846,0.016864379462883033,0.0019336436953381053,10.326163291931152,0.005754779675044119,1e-06,473146.0,25.0,0.023949174636386995
Fixed tau=0.1,28,0.015060336023848013,0.015060335870391451,4.8940630676952424e-05,9.676422119140625,0.00353682062334635,1e-06,438485.0,26.0,0.02502096857880493
Fixed tau=0.1,29,0.023846703131725502,0.023846702687230638,0.0019683301079412145,11.299901962280273,0.005364616867154837,1e-06,460849.0,28.0,0.02342194678095562
Fixed tau=0.1,30,0.01568821523887891,0.015688215215959644,-0.0003086394281126559,7.919426918029785,0.0014980912674218416,1e-06,389736.0,28.0,0.024614496894847116
Fixed tau=0.1,31,0.020189023703721887,0.020189023657883352,0.0017948855068823377,11.033918380737305,0.006036689132452011,1e-06,425461.0,29.0,0.022696717898985395
Fixed tau=0.1,32,0.008372219963315311,0.008372219977867227,0.0003400218409606026,6.770517826080322,0.0002572016480068366,1e-06,479407.0,31.0,0.02417319133546703
Fixed tau=0.1,33,0.04449979698152414,0.04449979694826262,0.0008686405703234154,12.981317520141602,0.003483689872414938,1e-06,297548.0,31.0,0.027261512401073055
Fixed tau=0.1,34,0.02617308708286146,0.026173087129427584,0.0010798064606660773,14.257858276367188,0.00599005394615233,1e-06,408924.0,32.0,0.026732439653815422
Fixed tau=0.1,35,0.04494823457207531,0.044948234281037,-0.0003595037833292736,18.063711166381836,0.003348502839799039,1e-06,310608.0,34.0,0.025683552227005548
Fixed tau=0.1,36,0.02232152158394456,0.02232152153737843,0.0004587156425259309,10.364477157592773,0.003418313502334058,1e-06,420789.0,34.0,0.026619632127114302
Fixed tau=0.1,37,0.02794158796547208,0.027941587921816335,0.00010617888290198607,13.557496070861816,0.003940761569538154,1e-06,316714.0,35.0,0.02690759207458142
Fixed tau=0.1,38,0.05083591151716454,0.05083591118454933,0.0009679987633717246,21.197294235229492,0.004005273654391723,1e-06,275899.0,37.0,0.030127266304085375
Fixed tau=0.1,39,0.009240535747570297,0.009240535650557527,0.0004954109302831947,6.369184970855713,0.0008740318395818273,1e-06,510741.0,37.0,0.028970375834070895
Fixed tau=0.1,40,0.012308940992321974,0.012308940992321974,0.0004465260675109069,8.792949676513672,0.0021479121642187238,1e-06,489094.0,38.0,0.028752578832114826
Fixed tau=0.1,41,0.025985094128474075,0.02598509411715592,0.0010481468497245158,11.914449691772461,0.002884528392718898,1e-06,363668.0,40.0,0.02585992924616218
Fixed tau=0.1,42,0.023356583173153922,0.023356583080021663,-0.00045789754376528434,11.412814140319824,0.0044767231913283466,1e-06,402259.0,40.0,0.02805251704651033
Fixed tau=0.1,43,0.04378863663545677,0.04378863650241068,0.0007661717596160347,11.40419864654541,0.007638344324992171,1e-06,290560.0,41.0,0.027127009296095052
Fixed tau=0.1,44,0.0317740018654149,0.03177400177810341,-0.0009501618433205294,10.74275016784668,0.0033549542422406375,1e-06,343220.0,43.0,0.02495166390479657
Fixed tau=0.1,45,0.023777320107910782,0.023777320107910782,-0.0005142218124092324,8.252147674560547,0.004980846730177291,1e-06,325972.0,43.0,0.026501648627646344
Fixed tau=0.1,46,0.013129088867935934,0.013129088835557922,0.0015470993492328945,5.22652006149292,0.006244953302666545,1e-06,423627.0,44.0,0.028206487119444453
Fixed tau=0.1,47,0.04643998813948461,0.04643998734120812,0.0014133199574644095,12.424578666687012,0.003382423044448452,1e-06,285825.0,46.0,0.027434775537505895
Fixed tau=0.1,48,0.01776100275455974,0.017761002667248248,0.0001427671988494694,7.997023105621338,0.004280951130203903,1e-06,390424.0,46.0,0.030349215202596015
Fixed tau=0.1,49,0.02690711195787622,0.026907111880266003,0.0004746017495765247,10.732215881347656,0.006595179671421647,1e-06,357275.0,47.0,0.028348832871582873
Fixed tau=0.1,50,0.026290367858018727,0.026290367601905017,0.0009379159705986239,8.732756614685059,0.00745648592710495,1e-06,426863.0,48.0,0.028642685882432104
Fixed tau=0.1,51,0.031062164533068426,0.03106216440210119,0.0009658808512540418,10.901575088500977,0.007876704796217382,1e-06,331269.0,49.0,0.027464144289233272
Fixed tau=0.1,52,0.017496266874579967,0.0174962667158318,0.002295749697209844,9.501526832580566,0.0019155272536657073,1e-06,443595.0,51.0,0.028336829022127683
Fixed tau=0.1,53,0.0554154203661407,0.05541541939601302,0.0001096151633343349,14.06502628326416,0.0053269258157039685,1e-06,215545.0,51.0,0.02791231038515558
Fixed tau=0.1,54,0.021784430913006265,0.02178443086126612,0.00031636829852585733,7.045465469360352,0.003923086708204614,1e-06,384127.0,52.0,0.029094982450647792
Fixed tau=0.1,55,0.0350063854129985,0.03500638489744493,0.0011320087625270908,10.133025169372559,0.004928580036253801,1e-06,298694.0,53.0,0.02850294757461079
Fixed tau=0.1,56,0.010813362485710817,0.010813362582723585,0.0004646245356951795,6.149147033691406,0.002182454976718873,1e-06,481148.0,55.0,0.02779884754024651
Fixed tau=0.1,57,0.022728621048736387,0.022728620897396468,0.00052124710764474,11.833980560302734,0.004440306546166539,1e-06,388812.0,55.0,0.029132286308146883
Fixed tau=0.1,58,0.04177028200189982,0.041770282334515026,0.00018591090858015896,9.390302658081055,0.0064215723458411434,1e-06,286209.0,56.0,0.03107943044702117
Fixed tau=0.1,59,0.030770395416766405,0.030770395387662575,0.0015460979061572289,13.317727088928223,0.004180754971457645,1e-06,334541.0,58.0,0.02809131775772895
Fixed tau=0.1,60,0.0203947282650254,0.020394728243858976,0.0013324933806870831,9.727848052978516,0.003638072553175417,1e-06,467790.0,58.0,0.029169249590058254
Fixed tau=0.1,61,0.01854526730797564,0.018545267223897908,0.0018462384718228957,8.809545516967773,0.0029712747782468796,1e-06,379847.0,60.0,0.026805899440521253
Fixed tau=0.1,62,0.04572999131466661,0.04572999084900532,0.0012707688607146597,15.677699089050293,0.0044771100760304505,1e-06,277455.0,60.0,0.028536715717337482
Fixed tau=0.1,63,0.038914852343233566,0.038914852243449004,0.00039109404243780385,18.454261779785156,0.0029369235105280367,1e-06,260099.0,61.0,0.029261308578601833
Fixed tau=0.1,64,0.02254617993021384,0.022546179813798518,0.00043100123873500705,10.67929458618164,0.004726262134499848,1e-06,408272.0,63.0,0.027703225720353473
Fixed tau=0.1,65,0.03364168116240762,0.03364168101688847,0.0010555806293268688,13.167845726013184,0.00796239878400229,1e-06,326715.0,63.0,0.02761869252410543
Fixed tau=0.1,66,0.009009533291343056,0.009009533252537949,-3.0390098345378647e-05,7.284207820892334,0.0012668425139660637,1e-06,497463.0,64.0,0.02840305412932714
Fixed tau=0.1,67,0.02985234191874042,0.029852341627702117,0.000543858458968316,10.701951026916504,0.003735206584678963,1e-06,321422.0,66.0,0.028774630724176662
Fixed tau=0.1,68,0.030699142283992842,0.030699142371304333,0.000853559884490096,8.264131546020508,0.004821805312531069,1e-06,303789.0,66.0,0.028219919127950775
Fixed tau=0.1,69,0.024631370867912967,0.02463137089378304,-2.6654366390883093e-05,8.988239288330078,0.001451741981630524,1e-06,369581.0,67.0,0.027133978337920736
Fixed tau=0.1,70,0.029840530195672597,0.02984053022893412,0.0006362479263251382,8.483797073364258,0.004075124809917595,1e-06,279580.0,69.0,0.027299514330630655
Fixed tau=0.1,71,0.02902270590129774,0.02902270590129774,0.00013870640884761087,11.45766830444336,0.0022890044492669404,1e-06,329295.0,69.0,0.02942694702363831
Fixed tau=0.1,72,0.02263261005828099,0.022632609767242684,0.00038901595735296723,8.55518627166748,0.0024730308941798285,1e-06,319980.0,70.0,0.03148129809504474
Fixed tau=0.1,73,0.0396281632517154,0.03962816329052051,4.886408714810386e-05,10.413107872009277,0.0032091146179785333,1e-06,235975.0,72.0,0.03117555427052349
Fixed tau=0.1,74,0.026969503494910896,0.026969503553118557,-0.0011923765823667054,8.358832359313965,0.003954276646254584,1e-06,309555.0,72.0,0.032505529871837406
Fixed tau=0.1,75,0.024367075951886363,0.024367075733607635,0.0014290734256974247,11.431827545166016,0.0057215852139052,1e-06,336682.0,73.0,0.031915598173607
Fixed tau=0.1,76,0.057043440919369456,0.05704344063997269,-0.0003575840033590794,11.558647155761719,0.002548603410832584,1e-06,178565.0,75.0,0.03230112706583124
Fixed tau=0.1,77,0.03160739488278826,0.03160739503800869,0.0008429834124399349,11.072030067443848,0.003999584121629596,1e-06,352274.0,75.0,0.0319124594923668
Fixed tau=0.1,78,0.026489159718039446,0.026489159557968378,0.0007134059526379133,11.574936866760254,0.00695220437773969,1e-06,315284.0,76.0,0.03600638786558579
Fixed tau=0.1,79,0.045328874179782964,0.04532887398575743,0.00034357009250622167,11.906280517578125,0.0020056936385420463,1e-06,224927.0,78.0,0.034259266131012926
Fixed tau=0.1,80,0.018142122199151345,0.018142122213248513,0.00023712422898825025,10.208802223205566,0.004155576636549085,1e-06,318692.0,78.0,0.03322617920336294
Fixed tau=0.1,81,0.03408134789788164,0.034081348043400794,0.0009431522162230976,11.509719848632812,0.0054259161406662315,1e-06,332697.0,79.0,0.03408429695216169
Fixed tau=0.1,82,0.02474736253498122,0.024747362593188882,0.0008353839889423398,10.342340469360352,0.004031717267935164,1e-06,309744.0,81.0,0.030739147950683575
Fixed tau=0.1,83,0.06766582233831286,0.06766582187265158,0.0012646179884541198,9.684438705444336,0.005353037384338677,1e-06,170668.0,81.0,0.031780705943294546
Fixed tau=0.1,84,0.020409824370290153,0.020409824210219085,0.001168713181016301,7.0783772468566895,0.0033630184188950807,1e-06,333005.0,82.0,0.030575060164929956
Fixed tau=0.1,85,0.01560554733441677,0.015605547348968685,0.0007047658791634603,6.716536045074463,0.0014401380612980574,1e-06,325771.0,84.0,0.02973515690567519
Fixed tau=0.1,86,0.03380637087060937,0.03380637097039393,0.001144180459440187,10.915596008300781,0.004330497883659389,1e-06,285303.0,84.0,0.029335091218149145
Fixed tau=0.1,87,0.020246801652817226,0.020246801623713395,0.00027339316824281923,9.546271324157715,0.0066511375771369785,1e-06,324933.0,85.0,0.027694317492574946
Fixed tau=0.1,88,0.04306453295672933,0.04306453295672933,0.0001560149660993678,11.819558143615723,0.0033046992029994726,1e-06,237996.0,87.0,0.03136965967020848
Fixed tau=0.1,89,0.013227056007599458,0.013227055995957925,0.0007859546213694557,8.386263847351074,0.0042024993570521476,1e-06,393331.0,87.0,0.02736071704785575
Fixed tau=0.1,90,0.03608993852200607,0.036089938133955,0.0005374985812522937,7.6270060539245605,0.006558089129005869,1e-06,223109.0,88.0,0.026728024449926144
Fixed tau=0.1,91,0.013741399708669633,0.013741399650461972,0.0010786863588236884,6.808647155761719,0.0010671948548406363,1e-06,403476.0,90.0,0.02903796738331826
Fixed tau=0.1,92,0.016032837123202626,0.01603283706208458,0.0004881173255853355,9.027356147766113,0.0034357253462076187,1e-06,401407.0,90.0,0.027215599409379312
Fixed tau=0.1,93,0.0651761264889501,0.06517612654715776,0.0014741316645086044,10.766816139221191,0.0021139650780241936,1e-06,157040.0,91.0,0.026696109439946603
Fixed tau=0.1,94,0.023567453092255164,0.023567453026771545,-2.5646987296568113e-05,8.972649574279785,0.006008892407407984,1e-06,304521.0,93.0,0.02818815829355981
Fixed tau=0.1,95,0.013450205675326288,0.013450205632993444,0.0003709773881465398,7.3866777420043945,0.0024490316652438855,1e-06,444140.0,93.0,0.03205103758073616
Fixed tau=0.1,96,0.041014919290319085,0.04101491961628199,0.00016531779983779414,9.997663497924805,0.006074576079845429,1e-06,206825.0,94.0,0.03257454960663611
Fixed tau=0.1,97,0.01376032328034853,0.013760323257065466,0.0007231963853882917,7.188116073608398,0.001855830568820238,1e-06,403956.0,96.0,0.03697853619162394
Fixed tau=0.1,98,0.01453241186682135,0.014532411959953606,-0.0004705212668341119,7.772914409637451,0.0025683030602522195,1e-06,424808.0,96.0,0.04002618679444474
Fixed tau=0.1,99,0.0594770698226057,0.05947707034647465,0.0009525127461529337,17.19144058227539,0.005607623184914701,1e-06,171339.0,97.0,0.03470946567344468
Fixed tau=0.1,100,0.055718728061765435,0.05571872815489769,0.0005876316624380707,10.50299072265625,0.0020737095968797804,1e-06,183490.0,99.0,0.033352977870749194
Fixed tau=0.1,101,0.04184857072929541,0.04184857041885456,0.00047204643972994137,9.020967483520508,0.0025089266321932278,1e-06,250504.0,99.0,0.03586827134822945
Fixed tau=0.1,102,0.06218525255098939,0.0621852520853281,0.0009734687209856929,14.699014663696289,0.003485878012725152,1e-06,162555.0,100.0,0.034548233584808824
Fixed tau=0.1,103,0.0495569939725101,0.049556993693113324,0.0014521145727485417,13.940881729125977,0.004418742074631154,1e-06,187883.0,102.0,0.03490204509676251
Fixed tau=0.1,104,0.006692194305893888,0.006692194216157077,0.0013006329272684525,4.358331203460693,0.003110474809849014,1e-06,482079.0,102.0,0.035403852556223254
Fixed tau=0.1,105,0.00864608739114677,0.008646087197121233,0.00033398717884362367,6.172064781188965,0.0021921075337255993,1e-06,510197.0,103.0,0.03159568217779284
Fixed tau=0.1,106,0.041118434024974705,0.04111843388527632,0.001715083907765802,10.430642127990723,0.003101846110075712,1e-06,202425.0,105.0,0.03043863359611679
Fixed tau=0.1,107,0.02649450451800866,0.026494504218654975,0.0004818317746477468,10.40298080444336,0.004095135472847947,1e-06,262673.0,105.0,0.02878362465642526
Fixed tau=0.1,108,0.0176522499176599,0.01765224988855607,0.0005181916440051282,7.838575839996338,0.004420236364239827,1e-06,319777.0,106.0,0.026056440110160527
Fixed tau=0.1,109,0.02005229397036601,0.020052294014021754,0.0021766051931422226,8.002959251403809,0.004022239241749048,1e-06,304340.0,108.0,0.02471083457151053
Fixed tau=0.1,110,0.01758719618737814,0.01758719618374016,0.0009618620679248124,8.243032455444336,0.0022787715861340985,1e-06,303841.0,108.0,0.027662853254421613
Fixed tau=0.1,111,0.04299119357019663,0.04299119375646114,0.00020589143387041985,7.333044052124023,0.0037957218009978533,1e-06,175310.0,109.0,0.03078826269451673
Fixed tau=0.1,112,0.023643472148770734,0.02364347208224769,0.0002516770068073778,13.142943382263184,0.003718345093407801,1e-06,298132.0,111.0,0.02872798664019914
Fixed tau=0.1,113,0.032186221703886984,0.03218622207641601,0.0007308459637897613,7.559796333312988,0.0044253068044781685,1e-06,205482.0,111.0,0.02746076613394073
Fixed tau=0.1,114,0.034755332837812604,0.03475533276796341,0.0006316548999166117,7.001195430755615,0.0029740989673882725,1e-06,209937.0,112.0,0.026654523123817896
Fixed tau=0.1,115,0.03916440024040639,0.03916439972817898,0.0010851857136003674,10.733166694641113,0.00327544747851789,1e-06,184207.0,114.0,0.02746571632567814
