method,split,task_count,success_count,success_rate,average_rounds,timeout_rate,action_parse_valid_rate,action_admissible_rate,repeated_action_rate
TCOD,seen,140,122,0.8714285714285714,10.35,0.12857142857142856,0.9521428571428572,0.9306075112231127,0.05714285714285714
TCOD,unseen,134,110,0.8208955223880597,11.873134328358208,0.1791044776119403,0.9328358208955225,0.9093679032166738,0.0664179104477612
TCOD,all,274,232,0.8467153284671532,11.094890510948906,0.15328467153284672,0.9427007299270067,0.9202202576725184,0.06167883211678834
Vanilla,seen,140,115,0.8214285714285714,11.264285714285714,0.17857142857142858,0.9366666666666669,0.911264172335601,0.06892857142857144
Vanilla,unseen,134,103,0.7686567164179104,12.73134328358209,0.23134328358208955,0.9129353233830844,0.8845920541267335,0.08849868305531171
Vanilla,all,274,218,0.7956204379562044,11.981751824817518,0.20437956204379562,0.9250608272506077,0.8982201437225048,0.07849935594675828
