evaluation_seed,train_layout_8gpu_success,train_layout_8gpu_rate,train_layout_4gpu_success,train_layout_4gpu_rate,difference_tasks_4gpu_minus_8gpu,difference_pp,mcnemar_4gpu_only,mcnemar_8gpu_only,mcnemar_exact_p
42,222,0.8102189781021898,226,0.8248175182481752,4,1.4598540145985401,19,15,0.6075913612730801
43,223,0.8138686131386861,227,0.8284671532846716,4,1.4598540145985401,22,18,0.6358280026288412
44,219,0.7992700729927007,227,0.8284671532846716,8,2.9197080291970803,22,14,0.2429849540349096
