method,seed,success_count,success_rate,seen_success,unseen_success,parse_valid_rate,admissible_rate,timeout_rate
Adaptive step 10,42,24,0.08759124087591241,13,11,0.6590024330900243,0.5200395306234722,0.9124087591240876
Adaptive step 10,43,20,0.072992700729927,9,11,0.651094890510949,0.5284748402449133,0.927007299270073
Adaptive step 10,44,25,0.09124087591240876,14,11,0.6604622871046227,0.512503248717967,0.9087591240875912
Full-loss step 10,42,26,0.0948905109489051,14,12,0.6592457420924573,0.5409677915529232,0.9051094890510949
Full-loss step 10,43,26,0.0948905109489051,12,14,0.6598540145985401,0.5299913235588417,0.9051094890510949
Full-loss step 10,44,21,0.07664233576642336,13,8,0.6541362530413625,0.5173167298328312,0.9233576642335767
Adaptive step 250,42,193,0.7043795620437956,110,83,0.887956204379562,0.8390089229505288,0.2956204379562044
Adaptive step 250,43,201,0.7335766423357665,109,92,0.8936739659367396,0.8507953066803432,0.2664233576642336
Adaptive step 250,44,203,0.7408759124087592,109,94,0.8975669099756691,0.862801553677466,0.2591240875912409
