trainer_step,time/read_experience,time/train_step,sample/model_version/mean,actor/final_loss,actor/grad_norm,perf/throughput,prompt_length/clip_ratio
11,132.19183206558228,36.80618858337402,10.0,0.03401742717768583,12.658729553222656,5026.859788477921,0.28125
12,0.047316551208496094,31.14968490600586,10.0,0.03367410927441799,11.66336441040039,6020.524203542809,0.21875
13,115.71685838699341,36.33655381202698,11.0,0.026935687838968905,11.547295570373535,5946.025847639652,0.265625
14,150.28190994262695,26.602226972579956,13.0,0.038368441397324204,13.022621154785156,6075.81513425976,0.234375
15,0.04767203330993652,35.96598768234253,13.0,0.017054442115386335,8.836638450622559,5967.037901306135,0.296875
16,110.23722672462463,26.3112473487854,14.0,0.032007783982244575,14.103936195373535,6109.129109811446,0.21875
17,140.69724035263062,39.5470814704895,16.0,0.0179097703340548,12.77783489227295,5935.391110676421,0.4375
18,0.04923224449157715,38.50724124908447,16.0,0.022412635830485007,10.580182075500488,5859.802987144441,0.390625
19,107.04843330383301,25.414676904678345,17.0,0.044664471643045545,12.054288864135742,6116.622962567977,0.1875
20,142.65482902526855,26.981330156326294,19.0,0.03193351656955201,11.086465835571289,5957.743142660015,0.21875
21,0.05027270317077637,45.57505750656128,19.0,0.015801232488063924,11.096593856811523,5024.794210873869,0.390625
22,93.01879572868347,37.44680976867676,20.0,0.013066338325932686,6.988758563995361,6033.694281561808,0.390625
23,146.44825267791748,32.03086829185486,22.0,0.028407171346897384,15.590289115905762,5764.702460893823,0.28125
24,0.055661916732788086,41.440555810928345,22.0,0.017570414443374222,12.415672302246094,5891.2367820276495,0.421875
25,97.52817034721375,22.51108694076538,23.0,0.049148821138909886,20.527467727661133,6250.570622634296,0.0625
26,138.18594765663147,25.444117307662964,25.0,0.03541532892995747,16.840656280517578,5977.392238218477,0.234375
27,0.047827720642089844,40.481609582901,25.0,0.017356231893328102,9.439482688903809,5832.172973856649,0.453125
28,100.27520680427551,35.621143102645874,26.0,0.023259160288778894,36.65061950683594,6047.001800434887,0.359375
29,133.8196063041687,31.876830101013184,28.0,0.026038954965770245,14.135472297668457,5950.703208943968,0.234375
30,0.056047916412353516,40.07486534118652,28.0,0.016507055589251897,10.929081916809082,5841.901726668923,0.40625
31,65.9099850654602,17.419297218322754,29.0,0.063422123901546,18.900075912475586,6213.969175990866,0.015625
32,134.73859810829163,25.021742582321167,31.0,0.03724328347016126,15.389913558959961,6047.116314501384,0.125
33,0.044985055923461914,38.51226496696472,31.0,0.021438206101513722,15.169508934020996,5851.4150987997255,0.375
34,100.15722012519836,28.08614468574524,32.0,0.03925136325415224,13.379993438720703,6109.862869804982,0.234375
35,144.68880438804626,36.575552225112915,34.0,0.017634929966747717,9.076142311096191,5909.643936387477,0.359375
36,0.05688977241516113,33.52539396286011,34.0,0.020532674359856173,10.772544860839844,5883.410649972291,0.265625
37,84.4432806968689,15.73963737487793,35.0,0.07871210761368275,15.404151916503906,6553.040745040715,0.015625
38,150.4077935218811,15.349395275115967,37.0,0.081520701572299,13.974933624267578,6180.942510533515,0.015625
39,0.04665017127990723,28.722938537597656,37.0,0.028182034118799493,10.987351417541504,5751.39156142873,0.046875
40,110.12574648857117,17.99556565284729,38.0,0.057513829631110035,13.346573829650879,6383.256003608583,0.015625
41,146.89084219932556,28.507394552230835,40.0,0.03483666403917596,12.844939231872559,5978.720771975682,0.171875
42,0.04644036293029785,40.44628095626831,40.0,0.011412863384369606,8.923582077026367,5915.969723521974,0.390625
43,204.98215866088867,19.24519443511963,42.0,0.0546048468289276,13.445592880249023,6018.690249504242,0.015625
44,0.0485990047454834,46.606149196624756,42.0,0.008436220025452293,4.342571258544922,5877.561501305217,0.5625
45,96.5681836605072,25.958250761032104,43.0,0.023019154213670845,10.568107604980469,6042.917061929439,0.109375
46,116.76333093643188,25.05546736717224,44.0,0.0341634920175693,10.7254638671875,6073.235342391223,0.203125
47,141.60061311721802,22.0631000995636,46.0,0.043654522991606166,10.77807903289795,6082.543829394494,0.078125
48,0.04737734794616699,44.37152457237244,46.0,0.012968597096355202,6.804427623748779,5891.709676779513,0.5625
49,77.90544557571411,24.789264678955078,47.0,0.03746896609663963,11.179916381835938,6169.50472987723,0.1875
50,133.35606622695923,26.039591312408447,49.0,0.03202576213516295,10.966083526611328,5879.536943017815,0.203125
51,0.047681331634521484,44.66485667228699,49.0,0.008726970569975597,6.002099990844727,5858.930920367154,0.546875
52,79.89869213104248,19.199861764907837,50.0,0.06125143667062124,14.811058044433594,6384.446983886339,0.015625
53,153.62604236602783,23.673557996749878,52.0,0.04056821896561554,13.368257522583008,6118.92606311628,0.140625
54,0.04835987091064453,34.04422068595886,52.0,0.022629245707503288,9.941391944885254,5818.578533462845,0.203125
55,106.88472557067871,27.19575595855713,53.0,0.03439277486177161,11.972443580627441,6084.296221489163,0.234375
56,150.15430521965027,18.148698091506958,55.0,0.05702207423746586,11.448974609375,6015.890943714567,0.015625
57,0.053649187088012695,37.736294746398926,55.0,0.00979444609807119,5.057301998138428,5840.137770101507,0.265625
58,111.12266516685486,29.080698251724243,56.0,0.025517812516126368,9.110261917114258,6130.515455192091,0.25
59,120.3489842414856,25.878504037857056,58.0,0.028021452453685924,11.150812149047852,5931.329660249087,0.21875
60,0.046582937240600586,37.107964515686035,58.0,0.013033014727460051,6.782884120941162,5954.195253495011,0.328125
61,79.89847207069397,17.05719566345215,59.0,0.07134113274514675,15.655326843261719,5856.973208733826,0.015625
62,145.24168038368225,20.98037838935852,61.0,0.052840870938130786,18.37510871887207,6191.201572535887,0.015625
63,0.05746126174926758,43.12995910644531,61.0,0.010006953187106168,11.36117935180664,5723.048835670509,0.46875
64,87.47885465621948,25.87469720840454,62.0,0.032025234795582946,11.132817268371582,6177.973282860455,0.21875
