task_type,n,adaptive,tcod,vanilla,adaptive_minus_tcod,adaptive_minus_vanilla
look_at_obj_in_light,31,0.45161290322580644,0.7419354838709677,0.6451612903225806,-0.2903225806451613,-0.1935483870967742
pick_and_place_simple,59,0.9322033898305084,0.9322033898305084,0.8813559322033898,0.0,0.05084745762711862
pick_clean_then_place_in_recep,58,0.7931034482758621,0.8793103448275862,0.8793103448275862,-0.08620689655172409,-0.08620689655172409
pick_cool_then_place_in_recep,46,0.5652173913043478,0.7608695652173914,0.782608695652174,-0.19565217391304357,-0.21739130434782616
pick_heat_then_place_in_recep,39,0.7692307692307693,0.8974358974358975,0.8717948717948718,-0.1282051282051282,-0.10256410256410253
pick_two_obj_and_place,41,0.5365853658536586,0.8048780487804879,0.6097560975609756,-0.2682926829268293,-0.07317073170731703
