training_step,model_version,trajectories,success_rate,frontier_trigger_rate,retained_fraction,mean_env_rounds,mean_full_turns,mean_retained_turns,teacher_entropy,student_entropy,sampled_reverse_kl,valid_action_rate,prompt_truncated_turn_rate,recorded_turns,success_rate_smooth,frontier_trigger_rate_smooth,retained_fraction_smooth,teacher_entropy_smooth,student_entropy_smooth,sampled_reverse_kl_smooth,valid_action_rate_smooth,prompt_truncated_turn_rate_smooth,mean_env_rounds_smooth
11,14.0,16,0.1875,0.1875,0.8729166666666667,26.125,26.125,22.3125,0.2024599839136089,0.3462466046629744,0.2222392121056091,0.49521531100478466,0.361244019138756,418,0.15178571428571427,0.30357142857142855,0.7967522265316384,0.22865168267239439,0.3632307867408097,0.24853491311194542,0.5136754577225335,0.3495018939915382,27.0
12,16.0,16,0.0625,0.375,0.775,29.5625,29.5625,22.8125,0.29384993422314665,0.40246328620599,0.29555965716506133,0.4693446088794926,0.3171247357293869,473,0.125,0.2857142857142857,0.8283348595848595,0.21361609977519394,0.33023082937035564,0.23848403845703145,0.5137207060145698,0.3481597404277572,27.642857142857142
13,17.0,16,0.1875,0.3125,0.8191773504273504,26.5625,26.5625,22.125,0.1774685140936813,0.30526464558718663,0.23127736896225312,0.4823529411764706,0.3905882352941176,425,0.125,0.26785714285714285,0.8397931929181929,0.2068135174391347,0.29751555706921234,0.25974590310325657,0.49958926510127144,0.35014625627852564,27.705357142857142
14,19.0,16,0.1875,0.0625,0.975,26.125,26.125,25.875,0.16698018271749318,0.24555491790569317,0.21523555967496996,0.5909090909090909,0.3373205741626794,418,0.125,0.23214285714285715,0.859138431013431,0.19012081959476607,0.2700361973331591,0.2567620028888064,0.5058708230705211,0.34662881111430244,27.714285714285715
15,20.0,16,0.0,0.1875,0.9125,30.0,30.0,27.375,0.14019068047978625,0.19790840941458315,0.18760739678475505,0.5270833333333333,0.3375,480,0.14285714285714285,0.22321428571428573,0.8644955738705739,0.18079132723204738,0.2457515109756541,0.2539620252501367,0.514751071381313,0.34108029003515156,27.25
16,22.0,16,0.0625,0.4375,0.7114583333333333,29.375,29.375,21.0,0.2201748726677071,0.22267189321987435,0.42122928153942185,0.4,0.3659574468085106,470,0.14285714285714285,0.21428571428571427,0.8698155143467643,0.15606279065361045,0.21466981424974266,0.23873515646132254,0.5038023933500918,0.3570888348389853,27.1875
17,23.0,16,0.1875,0.0625,0.9479166666666666,26.25,26.25,24.6875,0.12972156906793883,0.170143624335812,0.22418554398957452,0.5761904761904761,0.31666666666666665,420,0.13392857142857142,0.20535714285714285,0.8682663690476191,0.14902780285523667,0.19234974609651007,0.23544020959945086,0.5213693314335293,0.3358169646718497,27.419642857142858
18,25.0,16,0.3125,0.125,0.9104166666666667,22.875,22.875,20.1875,0.1371535373745783,0.1762538001604394,0.20263936863492124,0.5573770491803278,0.3224043715846995,366,0.16071428571428573,0.21428571428571427,0.8671903617216117,0.1454910946942913,0.17988391938633727,0.236044213498774,0.5166399567619581,0.3355226134496007,26.776785714285715
19,26.0,16,0.0625,0.3125,0.8122395833333333,29.125,29.125,23.875,0.12075017817408817,0.18489140912460975,0.18897157564336217,0.3927038626609442,0.4291845493562232,466,0.19642857142857142,0.23214285714285715,0.8582617902930403,0.14895276307442762,0.17633139317987395,0.24043179537727452,0.5325511289231302,0.32943286985985715,25.973214285714285
20,28.0,16,0.125,0.25,0.8083333333333333,28.1875,28.1875,22.4375,0.12822359950506476,0.14902416851455857,0.20821274092915149,0.6053215077605322,0.24168514412416853,451,0.22321428571428573,0.19642857142857142,0.8808808379120879,0.13761448217300096,0.17034399214397064,0.21160367928479604,0.5484726120201858,0.32477228222054605,25.285714285714285
21,29.0,16,0.375,0.125,0.9674679487179487,21.625,21.625,20.8125,0.14222322559087566,0.15829413093448344,0.2194635869702319,0.5578034682080925,0.3352601156069364,346,0.22321428571428573,0.22321428571428573,0.8654046474358975,0.1367538992212524,0.1706828556604234,0.20614099537602384,0.5466194569650603,0.323869162351909,25.419642857142858
22,31.0,16,0.25,0.3125,0.85,24.375,24.375,19.875,0.16442235914074058,0.1730407259693401,0.21832046993425858,0.6384615384615384,0.2948717948717949,390,0.24107142857142858,0.23214285714285715,0.8664463141025641,0.13789025948758765,0.17373900623281888,0.2094304799241357,0.5490867195570054,0.3208697450832698,25.321428571428573
23,32.0,16,0.25,0.1875,0.8697916666666666,24.5625,24.5625,21.3125,0.14080690635772042,0.1807600859685513,0.2194324688920727,0.5114503816793893,0.3333333333333333,393,0.2857142857142857,0.22321428571428573,0.8792811355311355,0.14645446230343,0.17485631545030558,0.21649657305075928,0.5793371426786612,0.2993507426085845,24.366071428571427
24,34.0,16,0.1875,0.25,0.8395833333333333,27.1875,27.1875,22.375,0.12369748840569887,0.17251566895098114,0.18594675662816887,0.5632183908045977,0.3103448275862069,435,0.33035714285714285,0.19642857142857142,0.9041110675039247,0.14473924478361258,0.17860344554617616,0.21288443306902072,0.5710939340870206,0.3175453818833632,23.339285714285715
25,35.0,16,0.4375,0.1875,0.9177083333333333,22.1875,22.1875,20.0,0.14510805923892506,0.197646854167208,0.22566576047170417,0.5746478873239437,0.30140845070422534,355,0.29464285714285715,0.19642857142857142,0.8983418367346939,0.14146710490715883,0.18298061193857176,0.2896241296556944,0.5660830490183321,0.3284173134200346,24.178571428571427
26,37.0,16,0.375,0.25,0.9020833333333333,22.4375,22.4375,19.5,0.1806995978849847,0.19271257364701644,0.23843422752972718,0.6044568245125348,0.2785515320334262,359,0.32142857142857145,0.15178571428571427,0.9197704081632654,0.1374083999736742,0.1837863022797427,0.2899301299899953,0.5584563473617796,0.3302160122336587,23.6875
27,38.0,16,0.4375,0.0625,0.9821428571428572,21.0,21.0,20.625,0.11621707686634271,0.1752540791856528,0.18292776105698183,0.5476190476190477,0.36904761904761907,336,0.32142857142857145,0.16071428571428573,0.9220025510204082,0.1454984643954035,0.18233530381197507,0.30123512035817035,0.5551679894942503,0.33401084636268313,23.651785714285715
28,40.0,16,0.125,0.125,0.9270833333333334,27.5,27.5,25.3125,0.11931824645569969,0.18893429568125272,0.7566414630769475,0.5227272727272727,0.4113636363636364,440,0.32142857142857145,0.14285714285714285,0.9321215986394558,0.14237660019218584,0.1786896287979765,0.2951752941624051,0.5485177431888316,0.34443777575512974,23.517857142857142
29,40.0,16,0.4375,0.0,1.0,20.9375,20.9375,20.9375,0.13601142460634819,0.17868055835753663,0.22046247227436486,0.5850746268656717,0.3074626865671642,335,0.3125,0.15178571428571427,0.9255243764172336,0.14241717460897005,0.17498321505579437,0.291304506744308,0.5420803019734922,0.3482940494922269,23.366071428571427
30,42.0,16,0.25,0.25,0.8854166666666666,24.3125,24.3125,20.875,0.19743735730982523,0.17060309669417786,0.2985674014692982,0.4884318766066838,0.35989717223650386,389,0.30357142857142855,0.13392857142857142,0.9290958049886621,0.13519965565703368,0.17295067714689713,0.2847748347975798,0.5361582814667226,0.3567583461416072,23.491071428571427
31,43.0,16,0.1875,0.125,0.9104166666666667,26.25,26.25,23.5625,0.10184443898317538,0.14699594385299125,0.14352797325781208,0.5166666666666667,0.38333333333333336,420,0.29464285714285715,0.15178571428571427,0.910218253968254,0.13502970112771537,0.17031380858639697,0.2841476243739568,0.5451618829072988,0.3520564653893063,23.678571428571427
32,44.0,16,0.375,0.25,0.8715277777777778,21.125,21.125,17.5625,0.14539208015641447,0.17170195797193294,0.19857024854502478,0.5295857988165681,0.32840236686390534,338,0.32142857142857145,0.14285714285714285,0.9134920634920635,0.1332748773143017,0.16480102468248697,0.1993103908333104,0.5444315833965115,0.34555503998544185,23.044642857142858
33,46.0,16,0.3125,0.125,0.9270833333333334,23.3125,23.3125,21.125,0.13017696522143019,0.17848480828473576,0.1927265239026295,0.5630026809651475,0.3378016085790885,373,0.30357142857142855,0.15178571428571427,0.9069444444444444,0.1299104812672214,0.1643604451045643,0.19440711273209438,0.5358031116550334,0.35691936862055945,23.491071428571427
34,47.0,16,0.375,0.1875,0.85,22.3125,22.3125,17.8125,0.11502739516111454,0.15679599926215157,0.17853728809162092,0.6106442577030813,0.33613445378151263,357,0.30357142857142855,0.13392857142857142,0.9161706349206348,0.12197740058424404,0.16628011422230046,0.18886788613738234,0.5330825228686559,0.3587124839570356,23.517857142857142
35,49.0,16,0.3125,0.0625,0.95,23.0625,23.0625,21.5625,0.1070344797618038,0.1503448083538827,0.1627808282924224,0.5176151761517616,0.36585365853658536,369,0.30357142857142855,0.14285714285714285,0.910218253968254,0.1231609718539453,0.1667472144996294,0.18978040936294768,0.5336275601606811,0.3569626273879019,23.473214285714285
36,50.0,16,0.3125,0.0625,0.9541666666666666,24.0625,24.0625,22.6875,0.11246065227678617,0.17559650131207802,0.18613952556585284,0.5246753246753246,0.38701298701298703,385,0.29464285714285715,0.13392857142857142,0.9148809523809524,0.12082867199319236,0.16329734759727593,0.2668305571808756,0.529591493663076,0.35652419402639157,23.803571428571427
37,52.0,16,0.25,0.125,0.95,24.5,24.5,23.0,0.14190579252898375,0.1840407805183309,0.2597928153063138,0.46938775510204084,0.37244897959183676,392,0.2767857142857143,0.125,0.9190476190476191,0.11813067936117143,0.16181723806933293,0.26348337850462916,0.5156941164093586,0.36534213376669744,24.25
38,53.0,16,0.1875,0.1875,0.86875,25.9375,25.9375,22.0,0.11012943787108416,0.15026564579429397,0.14991563583676937,0.5204819277108433,0.3710843373493976,415,0.26785714285714285,0.09821428571428571,0.9404761904761905,0.11618307557891369,0.15998306190245906,0.3299082363862415,0.5083490296143099,0.36730324879121967,24.303571428571427
39,55.0,16,0.3125,0.1875,0.9041666666666667,23.4375,23.4375,20.5625,0.12906598113114384,0.14755288965545862,0.7379212832705205,0.5013333333333333,0.3253333333333333,375,0.2767857142857143,0.14285714285714285,0.9184523809523809,0.1230869757262217,0.16498263761907103,0.3384360388192379,0.5039249879173436,0.36294009367174984,24.017857142857142
40,56.0,16,0.1875,0.0625,0.95625,26.4375,26.4375,25.125,0.11129101679728375,0.16812404158913474,0.16929627316890417,0.4657210401891253,0.39952718676122934,423,0.2767857142857143,0.15178571428571427,0.9119047619047619,0.12246684349528461,0.16487690292052987,0.33795952237506566,0.4925935402861302,0.3650295732787939,23.848214285714285
41,58.0,16,0.3125,0.0,1.0,22.6875,22.6875,22.6875,0.10139416868531043,0.1439567660940343,0.6435112932629077,0.559228650137741,0.349862258953168,363,0.29464285714285715,0.16071428571428573,0.9023809523809525,0.12318593176961763,0.1623128271834549,0.33549658508847546,0.4983672783527854,0.3654440247736775,23.535714285714285
42,59.0,16,0.375,0.375,0.7958333333333334,21.0625,21.0625,14.9375,0.15536178079295973,0.18534183837016666,0.22247544532339686,0.486646884272997,0.3353115727002967,337,0.3482142857142857,0.15178571428571427,0.9092261904761905,0.12355371377664334,0.16265292951657087,0.3403040827462119,0.4901107982746905,0.36093943926747357,22.223214285714285
43,61.0,16,0.3125,0.125,0.9083333333333333,22.875,22.875,20.125,0.10811972666022672,0.17485635842228991,0.1828039104566472,0.4453551912568306,0.4016393442622951,366,0.36607142857142855,0.13392857142857142,0.9172619047619047,0.12180310855786425,0.16540416970454164,0.26157124756011646,0.49365658582047806,0.3685291828572172,21.776785714285715
44,62.0,16,0.375,0.1875,0.8833333333333333,22.3125,22.3125,18.8125,0.1469394104493148,0.16609225035880626,0.2425522543001827,0.5098039215686274,0.3753501400560224,357,0.39285714285714285,0.15178571428571427,0.9047619047619048,0.12034643052734571,0.16356642090549345,0.26111954284869016,0.49794653839564557,0.36892048317016174,21.151785714285715
45,64.0,16,0.5625,0.125,0.9166666666666666,16.75,16.75,14.25,0.11270391192026409,0.15264636212610558,0.183568119440924,0.4626865671641791,0.33955223880597013,268,0.41964285714285715,0.1875,0.887202380952381,0.12913955384067194,0.16430612866479513,0.20171322402879496,0.4810416696174105,0.3664070705492847,20.705357142857142
46,65.0,16,0.4375,0.0625,0.9604166666666667,20.3125,20.3125,19.125,0.11681174459969024,0.16681157097125393,0.18679143696785278,0.5261538461538462,0.37846153846153846,325,0.44642857142857145,0.16964285714285715,0.8943452380952381,0.12380884997545515,0.15598810540908462,0.19999228503116515,0.4884038030329564,0.3600638588648267,20.151785714285715
47,67.0,16,0.375,0.1875,0.86875,22.0625,22.0625,18.125,0.10109427058365401,0.15525979999579737,0.16613434018891973,0.49575070821529743,0.40226628895184136,353,0.44642857142857145,0.16964285714285715,0.8952380952380953,0.12251249852004865,0.14562542608146037,0.19422011408593456,0.5065255020632184,0.33927692256888964,20.160714285714285
48,68.0,16,0.5,0.25,0.8770833333333333,19.5625,19.5625,16.125,0.16294603187859386,0.14913472040914633,0.2276670615236415,0.44089456869009586,0.33226837060702874,313,0.4732142857142857,0.16071428571428573,0.9020833333333333,0.1142643946228619,0.13935454868111777,0.18009018599795845,0.5074797299082026,0.3400772426969409,19.410714285714285
49,70.0,16,0.5625,0.25,0.8458333333333333,17.1875,17.1875,12.5625,0.11804685373644232,0.12711567558019307,0.21042887233998828,0.5381818181818182,0.2909090909090909,275,0.45535714285714285,0.15178571428571427,0.9068452380952381,0.10948014426665233,0.13346028928063383,0.1736150097526404,0.49736015313911475,0.3462048001626353,19.866071428571427
50,71.0,16,0.3125,0.125,0.9145833333333333,22.9375,22.9375,20.375,0.09904526647238117,0.10231760312892005,0.14239871384003303,0.5722070844686649,0.2561307901907357,367,0.4732142857142857,0.16071428571428573,0.9023065476190476,0.10569365017211993,0.12604480442641314,0.16797359397003492,0.4845986186447283,0.3406174633117605,19.4375
51,73.0,16,0.5625,0.125,0.93125,17.0625,17.0625,15.0,0.08920268316900777,0.12219610855640806,0.14364275768434973,0.5164835164835165,0.38095238095238093,273,0.45535714285714285,0.16071428571428573,0.9026041666666667,0.1051669164383693,0.12263655742042194,0.1652089994744097,0.46790080023989195,0.34647927475752105,19.75
52,74.0,16,0.4375,0.0625,0.95,19.9375,19.9375,18.4375,0.07921415942679695,0.11138654632271801,0.1382418857236979,0.39184952978056425,0.3824451410658307,319,0.4642857142857143,0.15178571428571427,0.9031994047619049,0.09743233552137578,0.11823584029986504,0.1567662084734006,0.48838295655864233,0.33432536627593906,19.339285714285715
53,76.0,16,0.5625,0.125,0.9286458333333334,17.3125,17.3125,15.5,0.0903062859379635,0.1149031769917091,0.14730152648961412,0.4368231046931408,0.33935018050541516,277,0.4375,0.14285714285714285,0.9067708333333332,0.1002682500730807,0.11744204356257539,0.15003823868937413,0.4674182070224642,0.3470526390032118,20.008928571428573
54,77.0,16,0.25,0.1875,0.8708333333333333,24.25,24.25,20.375,0.09740713444739951,0.131402070953859,0.1467821787195434,0.3788659793814433,0.44329896907216493,388,0.48214285714285715,0.14285714285714285,0.9067708333333334,0.10071518327366924,0.12050612860469885,0.1526877598658038,0.46103991711524206,0.3543320424292822,19.0
55,79.0,16,0.5625,0.1875,0.88125,16.6875,16.6875,13.125,0.10880396545963938,0.1183297005652481,0.1685675245165777,0.5842696629213483,0.24719101123595505,267,0.4642857142857143,0.14285714285714285,0.9031994047619047,0.10129827331318363,0.11739514063681777,0.1526948383013002,0.461961669019956,0.3405393693967664,19.482142857142858
56,80.0,16,0.375,0.1875,0.8708333333333333,21.875,21.875,18.0,0.13789825559837657,0.12155909841916543,0.16333308385180295,0.3914285714285714,0.38,350,0.4642857142857143,0.15178571428571427,0.8972470238095239,0.1030968935637402,0.11667805235012775,0.15426118743508146,0.47657140005970733,0.33422367697559735,19.669642857142858
57,82.0,16,0.625,0.125,0.9145833333333333,15.875,15.875,13.3125,0.10217379887650109,0.1237661984237842,0.16094536207504076,0.5275590551181102,0.30708661417322836,254,0.41964285714285715,0.14285714285714285,0.9023809523809524,0.10236493347210031,0.1137931068578631,0.15073827006179022,0.4839609020064887,0.3337276315598837,20.705357142857142
58,83.0,16,0.4375,0.125,0.90625,20.4375,20.4375,17.625,0.09328431344560832,0.10041919278124056,0.14369230673282465,0.5229357798165137,0.28440366972477066,327,0.44642857142857145,0.14285714285714285,0.9011904761904762,0.10120194125575054,0.10869459835577824,0.19023751350227705,0.4946162554453473,0.31716025416776406,20.214285714285715
59,85.0,16,0.4375,0.125,0.9083333333333333,21.25,21.25,18.5,0.09180450118069304,0.10636692831588795,0.1492063296601666,0.49411764705882355,0.3382352941176471,340,0.41964285714285715,0.125,0.912797619047619,0.09678465480170104,0.10463332890118977,0.1841817173729554,0.4701192604100716,0.3350033987420296,20.901785714285715
60,86.0,16,0.25,0.0625,0.9645833333333333,24.5625,24.5625,23.5,0.08518256529648423,0.09470855854585639,0.1226411048765754,0.48854961832061067,0.33587786259541985,393,0.42857142857142855,0.11607142857142858,0.9190476190476191,0.08863687220220558,0.09858285077435787,0.17855059792211156,0.4962870608635864,0.3233480699438437,20.589285714285715
61,88.0,16,0.4375,0.1875,0.8625,20.8125,20.8125,16.6875,0.08926618893295107,0.0957125114392651,0.42327688280295106,0.45345345345345345,0.32732732732732733,333,0.39285714285714285,0.10714285714285714,0.9255952380952381,0.08525461886282223,0.09341981074956941,0.1740921184251047,0.49552936625790467,0.327380206876282,21.330357142857142
62,89.0,16,0.375,0.0625,0.9625,21.5,21.5,20.375,0.07788296028129299,0.08990081438312875,0.1261769516113264,0.4127906976744186,0.37209302325581395,344,0.38392857142857145,0.125,0.9165674603174603,0.08442902882015944,0.090012038430355,0.17181311469180585,0.49266098954942317,0.31858784589519235,21.535714285714285
63,91.0,16,0.4375,0.125,0.9145833333333333,19.6875,19.6875,17.125,0.08086377740190828,0.07920575153134206,0.12391524769589594,0.5746031746031746,0.2984126984126984,315,0.42857142857142855,0.11607142857142858,0.9234126984126984,0.08483748783942781,0.08884007619155339,0.17268751113923506,0.5166759288584801,0.30518915308473477,20.508928571428573
64,92.0,16,0.375,0.0625,0.9604166666666667,21.0625,21.0625,19.875,0.07849802550081761,0.08762491825026515,0.12973600559599274,0.5222551928783383,0.3353115727002967,337,0.45535714285714285,0.16071428571428573,0.8969246031746031,0.08735868597325405,0.09054973577690316,0.17611326323936144,0.5316213693645863,0.298910239262319,19.875
65,94.0,16,0.375,0.25,0.8430555555555556,21.875,21.875,17.75,0.08750518314696888,0.0765647865467397,0.12773928059973277,0.5028571428571429,0.22285714285714286,350,0.4732142857142857,0.15178571428571427,0.9097222222222222,0.08488586101304382,0.08996690477326043,0.1314165859531142,0.5306720918195641,0.30939336676672313,19.419642857142858
66,95.0,16,0.75,0.0625,0.95625,14.0625,14.0625,12.75,0.09466371431557162,0.09816319264427643,0.15532710479217124,0.6622222222222223,0.24444444444444444,225,0.4732142857142857,0.16964285714285715,0.8995405179615705,0.08721579159530281,0.09181921631837293,0.13253054662839964,0.5510221054662375,0.29953952734571854,19.5
67,97.0,16,0.4375,0.375,0.7791666666666667,20.125,20.125,13.6875,0.10283095223326798,0.10667617564330494,0.14662136957745994,0.593167701863354,0.2919254658385093,322,0.5089285714285714,0.16071428571428573,0.9054928989139517,0.08965185654511394,0.09470999972308367,0.13832748156987504,0.5643716223130869,0.29484630842606213,18.839285714285715
68,98.0,16,0.5625,0.125,0.9520833333333334,17.625,17.625,16.3125,0.0719564142114794,0.09163269441376605,0.11040014179922049,0.44680851063829785,0.40070921985815605,282,0.5357142857142857,0.16964285714285715,0.8980524227234754,0.09101775453695114,0.0978483400430394,0.13974594675508165,0.5544025208861435,0.2952879468724619,18.178571428571427
69,100.0,16,0.375,0.1875,0.8912280701754386,22.0625,22.0625,19.125,0.09419247435710587,0.10286699519891614,0.13397467633832422,0.5552407932011332,0.3031161473087819,353,0.5535714285714286,0.15178571428571427,0.9082706766917293,0.09037025552812593,0.1016692337094495,0.1406092609821545,0.5532679653690213,0.314298669805703,17.6875
70,101.0,16,0.6875,0.0625,0.95625,15.0625,15.0625,13.75,0.09791623205058628,0.09944123536431722,0.16449379228622407,0.6680497925311203,0.26556016597510373,241,0.5178571428571429,0.16071428571428573,0.9046992481203008,0.08859962086981563,0.10157041714663151,0.13544412286912688,0.5361230467955314,0.32854315547876006,18.428571428571427
71,103.0,16,0.5625,0.125,0.9083333333333333,16.4375,16.4375,13.6875,0.08805931144367792,0.10959330048995518,0.13966526189243875,0.4524714828897338,0.33840304182509506,263,0.5267857142857143,0.11607142857142858,0.9294016290726818,0.08589936392146655,0.09937173925560368,0.1319644284401646,0.5302025376623429,0.33462276873335733,18.142857142857142
72,104.0,16,0.5,0.125,0.9145833333333333,18.4375,18.4375,15.875,0.0829726900851924,0.1033110422116105,0.13378248018924283,0.49491525423728816,0.3559322033898305,295,0.5267857142857143,0.10714285714285714,0.9349713569638382,0.08941277808298662,0.10101076363467566,0.13589735494011207,0.5529246350257876,0.3229812003310986,18.366071428571427
73,106.0,16,0.5,0.125,0.93125,19.25,19.25,17.1875,0.08226927170739946,0.09747147670455052,0.11917113800097791,0.5422077922077922,0.34415584415584416,308,0.5267857142857143,0.11607142857142858,0.9330994897959185,0.08877034781726577,0.10009398213517802,0.13537836677419188,0.5548447100943854,0.3287369783450717,18.464285714285715
74,107.0,16,0.5,0.0625,0.9520833333333334,18.125,18.125,16.6875,0.08392915359482445,0.09128543040611016,0.12226350857472404,0.5517241379310345,0.33448275862068966,290,0.5267857142857143,0.125,0.9280399659863946,0.09096461744102961,0.10180569855497999,0.13511619047971377,0.554073397219888,0.31833853811110685,18.535714285714285
75,109.0,16,0.5625,0.0625,0.9910714285714286,19.1875,19.1875,19.0625,0.09655031334211982,0.10310586506727001,0.13793062729885266,0.6058631921824105,0.31921824104234525,307,0.5357142857142857,0.13392857142857142,0.925063775510204,0.09284583250325536,0.1007123399987193,0.13287892455859193,0.5803967130752905,0.31256084408944595,18.375
76,110.0,16,0.375,0.25,0.878125,22.75,22.75,19.1875,0.08969546249706015,0.09644952470243245,0.13034175917688287,0.5686813186813187,0.3434065934065934,364,0.5625,0.16071428571428573,0.9123086734693878,0.10073278081971372,0.10303728998068781,0.1394618021110725,0.6060664159847029,0.2928925247843228,17.991071428571427
77,112.0,16,0.6875,0.125,0.9208333333333333,15.5625,15.5625,13.1875,0.11327611941693311,0.11142325030293113,0.16265855822487726,0.6626506024096386,0.1927710843373494,249,0.5892857142857143,0.14285714285714285,0.9221301020408162,0.10418621648110837,0.10348796884871095,0.14434339949388847,0.6368523386837784,0.2701591222523048,17.267857142857142
78,113.0,16,0.625,0.1875,0.8875,15.3125,15.3125,11.9375,0.10122781687925805,0.10193979059613031,0.12400440044458598,0.636734693877551,0.2979591836734694,245,0.5803571428571429,0.14285714285714285,0.9248086734693877,0.10473069687419256,0.10483342567298289,0.1440430314911347,0.640790036963626,0.2699949186398253,17.4375
79,115.0,16,0.6875,0.3125,0.825297619047619,15.75,15.75,11.25,0.13818132830040097,0.11958569208539006,0.17986262305660683,0.6746031746031746,0.21825396825396826,252,0.6071428571428571,0.15178571428571427,0.9126913265306121,0.1027728622664157,0.10449535730619532,0.14183536373248284,0.6474921206201072,0.26936585775017813,16.625
80,116.0,16,0.6875,0.0,1.0,14.1875,14.1875,14.1875,0.10644332133716207,0.10062622878071248,0.15334231968068948,0.7577092511013216,0.18502202643171806,227,0.6607142857142857,0.125,0.9241496598639455,0.10291145561498873,0.10508834365004335,0.14224511111909138,0.663860206315924,0.26297099211161495,15.348214285714286
81,118.0,16,0.4375,0.0625,0.9708333333333333,19.3125,19.3125,18.4375,0.08774051634641386,0.10070362817601371,0.12016093255544767,0.5792880258899676,0.3333333333333333,309,0.6517857142857143,0.11607142857142858,0.9286139455782312,0.10040955761114277,0.10357176400517684,0.13690949285090803,0.6536629547245243,0.277949272580429,15.375
82,119.0,16,0.75,0.125,0.90625,13.5,13.5,10.6875,0.0828454710876818,0.10073938649975711,0.12247695298828981,0.6527777777777778,0.3148148148148148,216,0.6428571428571429,0.09821428571428571,0.9381377551020409,0.09797502717383551,0.10205195789683463,0.1346434015078428,0.6475869839635491,0.2798971324697263,15.651785714285714
83,121.0,16,0.75,0.0625,0.9583333333333334,13.8125,13.8125,12.5625,0.09066561593707119,0.10060042910936869,0.1332099908831426,0.6832579185520362,0.2986425339366516,221,0.6160714285714286,0.08035714285714286,0.9514880952380952,0.09484260967911805,0.10058892998410267,0.12885401219919154,0.6329851836474631,0.28286902829876504,16.053571428571427
