turn,task_success,teacher_entropy,student_entropy,valid_action_rate,trajectory_count
0,False,0.21763560357152564,0.23292324735771788,0.996186117467582,1311
0,True,0.14602386442494633,0.11633235132342488,1.0,1425
1,False,0.21381161694689554,0.20622127181054287,0.9664378337147216,1311
1,True,0.14837393065609616,0.12399460489046896,0.992280701754386,1425
2,False,0.19795120238041888,0.1952633510194278,0.9168573607932876,1311
2,True,0.13125900900342272,0.12127713584886592,0.9789473684210527,1425
3,False,0.18698247716414085,0.18094112521672895,0.88558352402746,1311
3,True,0.10041656081224681,0.09565892912989556,0.9749821300929236,1399
4,False,0.19733428665904756,0.18678536518749622,0.8353658536585366,1312
4,True,0.11288718057369414,0.10934831732497656,0.9506172839506173,1134
5,False,0.2055256675015146,0.19128397492448007,0.8233054074638233,1313
5,True,0.1005088466956242,0.09777949669859079,0.9659201557935735,1027
6,False,0.20636075370714663,0.1880250632934622,0.766945925361767,1313
6,True,0.09800527710995052,0.09319251236925377,0.9413233458177278,801
7,False,0.21516955750876407,0.19453839572991574,0.7753236862147753,1313
7,True,0.10741451671257139,0.10281499940760963,0.9243697478991597,595
8,False,0.21205214741845518,0.18735770626779355,0.7654226961157654,1313
8,True,0.11623538766855919,0.10506442786990303,0.9197247706422018,436
9,False,0.21070914866673182,0.18563446971945272,0.7509520182787509,1313
9,True,0.13343055308506524,0.11836853711555706,0.9037267080745341,322
10,False,0.20698674706019965,0.17978147940388178,0.7341964965727342,1313
10,True,0.13574407463562393,0.12010407107873168,0.9224489795918367,245
11,False,0.19690680822025122,0.17473034507772023,0.7067783701447068,1313
11,True,0.13443847440384754,0.12000884935357542,0.896551724137931,203
12,False,0.18624048887624475,0.17376073841658984,0.635948210205636,1313
12,True,0.13245061329151475,0.12098678228655742,0.9240506329113924,158
13,False,0.17279814272746488,0.16807761966851809,0.5856816450875857,1313
13,True,0.14049760573145073,0.12379448293445568,0.8939393939393939,132
14,False,0.1559579806671246,0.1634849549359776,0.5392231530845393,1313
14,True,0.15043607120988362,0.14021785584418395,0.9724770642201835,109
15,False,0.1406409273910429,0.16496227471193406,0.4676313785224676,1313
15,True,0.14637818934558428,0.1319255282537161,0.9113924050632911,79
16,False,0.11297874131885824,0.15186957125522604,0.3709063214013709,1313
16,True,0.12863737297973327,0.12071028384629097,0.9166666666666666,60
17,False,0.09818560349843483,0.1513864417487924,0.31911652703731913,1313
17,True,0.14541509589786245,0.14059191157473447,0.9285714285714286,42
18,False,0.08545279763805716,0.14000444549129887,0.26808834729626807,1313
18,True,0.13298489027558402,0.12461042019351282,0.9444444444444444,36
19,False,0.07507772458880412,0.12332124292646054,0.22315308453922314,1313
19,True,0.15025598309349555,0.15151620658144563,0.8636363636363636,22
20,False,0.06402182548898765,0.11957842603782903,0.18811881188118812,1313
20,True,0.16627897908339462,0.15799088063596894,0.9090909090909091,11
21,False,0.048250883766353905,0.09432551475108657,0.1210967250571211,1313
21,True,0.4294873220298127,0.3996041833852453,1.0,2
22,False,0.038359397923188425,0.08006236623059651,0.0715917745620716,1313
22,True,0.6400674969791457,0.6120103675449134,1.0,1
23,False,0.03418865919212864,0.049584837988837095,0.037319116527037316,1313
24,False,0.032224821914949665,0.03330002498395645,0.020563594821020565,1313
25,False,0.03094240715613474,0.02469554236390153,0.008377760853008377,1313
26,False,0.03108620427046059,0.048799373378552856,0.00456968773800457,1313
27,False,0.030824177618953487,0.10098377075058783,0.0007616146230007616,1313
28,False,0.030746539990132816,,0.0,1313
29,False,0.030832975217097814,,0.0,1313
