explorer_step,rollout/model_version,time/wait_explore_step,experience_pipeline/experience_count,rollout/time/run_execution/mean
8,10.0,130.93775820732117,325.0,89.4883593916893
9,11.0,149.05122542381287,286.0,118.57169987261295
10,13.0,149.82623291015625,329.0,95.41831934452057
11,14.0,146.8161177635193,357.0,96.45120726525784
12,16.0,140.8136432170868,365.0,118.41344685852528
13,17.0,146.22087907791138,354.0,103.12795972824097
14,19.0,142.12772417068481,414.0,93.85605700314045
15,20.0,143.52599930763245,438.0,120.8563718944788
16,22.0,146.10496401786804,336.0,120.58609034121037
17,23.0,139.42649817466736,395.0,92.06829325854778
18,25.0,137.71126341819763,323.0,74.0285813510418
19,26.0,141.62963008880615,382.0,112.69505819678307
20,28.0,133.31120443344116,359.0,101.35171566903591
21,29.0,106.90191698074341,333.0,61.302139192819595
22,31.0,134.5090832710266,318.0,83.89365467429161
23,32.0,139.2257843017578,341.0,85.59493088722229
24,34.0,144.40989875793457,358.0,101.57643504440784
25,35.0,118.80250883102417,320.0,69.64448022842407
26,37.0,149.9336531162262,312.0,75.72109499573708
27,38.0,139.64729022979736,330.0,69.40415278077126
28,40.0,150.53211903572083,405.0,113.4039336591959
29,40.0,124.59656953811646,335.0,67.89736033976078
30,42.0,148.01935458183289,334.0,89.47174213826656
31,43.0,144.60762476921082,377.0,101.0351573228836
32,44.0,143.82806873321533,281.0,69.17634683847427
33,46.0,141.42354154586792,338.0,79.65697830915451
34,47.0,122.89536809921265,285.0,79.24482457339764
35,49.0,133.10282373428345,345.0,78.41603173315525
36,50.0,125.50837302207947,363.0,86.59981897473335
37,52.0,153.02427697181702,368.0,94.28142374753952
38,53.0,141.51098895072937,352.0,94.91645756363869
39,55.0,149.62930583953857,329.0,82.7151191085577
40,56.0,149.6527705192566,402.0,101.33422426879406
41,58.0,119.99655628204346,363.0,73.19345958530903
42,59.0,123.49443817138672,239.0,70.49843528866768
43,61.0,144.94043350219727,322.0,81.63502299785614
44,62.0,131.42662692070007,301.0,74.59061975777149
45,64.0,105.07938241958618,228.0,48.61689554154873
46,65.0,120.90560507774353,306.0,66.1349609196186
47,67.0,124.41378569602966,290.0,73.88001397252083
48,68.0,133.6105878353119,258.0,65.18888609111309
49,70.0,130.80220293998718,201.0,53.08081093430519
50,71.0,147.4163682460785,326.0,81.829157397151
51,73.0,113.3074369430542,240.0,46.373412281274796
52,74.0,114.0896680355072,295.0,57.09356479346752
53,76.0,115.09510326385498,248.0,49.33752329647541
54,77.0,145.8262152671814,326.0,86.40173660218716
55,79.0,94.78595852851868,210.0,44.3855157494545
56,80.0,130.40263319015503,288.0,75.13004472851753
57,82.0,121.00935077667236,213.0,47.21883310377598
58,83.0,133.60223245620728,282.0,66.8824897557497
59,85.0,141.21984887123108,296.0,71.0992193967104
60,86.0,144.81624364852905,376.0,92.36509555578232
61,88.0,131.61395287513733,267.0,67.18590246140957
62,89.0,124.80643439292908,326.0,73.03419783711433
63,91.0,135.31841731071472,274.0,62.90703424811363
64,92.0,140.22308373451233,318.0,71.94422779977322
65,94.0,131.50814151763916,284.0,69.26197598874569
66,95.0,74.65769147872925,204.0,34.811823680996895
67,97.0,114.59238696098328,219.0,60.66835376620293
68,98.0,143.232248544693,261.0,59.36542582511902
69,100.0,120.30663084983826,306.0,73.48607783019543
70,101.0,109.5919017791748,220.0,41.250726491212845
71,103.0,93.27380061149597,219.0,43.765563264489174
72,104.0,124.59532904624939,254.0,56.101937770843506
73,106.0,117.49088597297668,275.0,56.52638424932957
74,107.0,116.18570613861084,267.0,55.4050408154726
75,109.0,96.7769980430603,305.0,56.22533664107323
76,110.0,129.3086609840393,307.0,75.85359938442707
77,112.0,89.96021318435669,211.0,39.77578403055668
78,113.0,89.36887812614441,191.0,37.86123430728912
79,115.0,88.78316736221313,180.0,40.593862533569336
80,116.0,87.28027081489563,227.0,34.61329811811447
81,118.0,130.90531730651855,295.0,60.768866539001465
82,119.0,94.97430992126465,171.0,36.28670808672905
83,121.0,72.18567681312561,201.0,32.56288190186024
84,122.0,90.0705738067627,229.0,39.09467765688896
85,124.0,94.96532464027405,254.0,46.11470106244087
86,125.0,113.08105611801147,258.0,53.057552978396416
87,127.0,81.66846060752869,210.0,31.140923723578453
88,128.0,107.98308372497559,263.0,53.530403822660446
89,130.0,117.60551857948303,252.0,58.80802673101425
90,131.0,120.09968209266663,216.0,50.877206921577454
91,133.0,91.97847604751587,229.0,43.809851825237274
92,134.0,117.48897528648376,247.0,44.80671462416649
93,136.0,92.76854825019836,221.0,42.46147198975086
94,137.0,87.17633867263794,205.0,33.052941873669624
95,139.0,109.58151149749756,247.0,45.23138938844204
96,140.0,64.35397171974182,143.0,22.883757427334785
97,142.0,113.76671981811523,255.0,53.7051120698452
98,143.0,88.08198833465576,200.0,34.268191292881966
99,145.0,91.4735016822815,221.0,38.217709079384804
100,146.0,64.64572477340698,173.0,24.943413391709328
101,148.0,116.39871573448181,175.0,38.97064971923828
102,149.0,101.89280223846436,263.0,46.597020387649536
103,151.0,92.88303518295288,276.0,46.22026017308235
104,152.0,89.77354431152344,198.0,38.54703100025654
105,154.0,86.96823167800903,216.0,40.40710636973381
106,155.0,83.06375074386597,110.0,25.751730993390083
107,157.0,116.90219116210938,229.0,45.855969965457916
108,158.0,111.59446454048157,245.0,49.91561768949032
109,160.0,87.67463326454163,219.0,38.52615629136562
110,161.0,89.0803472995758,164.0,36.14078280329704
111,163.0,85.97302484512329,222.0,38.16213621199131
112,164.0,92.88118886947632,247.0,45.82286551594734
113,166.0,144.5351173877716,328.0,79.30627851188183
114,167.0,139.40560388565063,286.0,58.61256508529186
115,169.0,89.86270642280579,235.0,39.86693154275417
116,170.0,94.0784432888031,173.0,34.83029502630234
117,172.0,121.61722588539124,269.0,60.59580156207085
118,173.0,92.47321271896362,209.0,32.10395634174347
119,175.0,102.99061417579651,207.0,45.4306413680315
120,176.0,89.4772686958313,203.0,33.896276369690895
121,178.0,82.46520447731018,169.0,27.88662925362587
122,179.0,119.09121012687683,219.0,58.98165725171566
123,181.0,90.2764949798584,254.0,44.65111941099167
124,182.0,84.77261734008789,211.0,32.65591560304165
125,184.0,82.78157830238342,181.0,29.08533726632595
126,185.0,90.87149834632874,250.0,43.73815792798996
127,187.0,81.06516146659851,212.0,29.993309378623962
128,188.0,84.57665419578552,211.0,31.13036660850048
129,190.0,90.57812023162842,215.0,42.95501996576786
130,191.0,89.27075290679932,173.0,37.078817412257195
131,193.0,117.09653401374817,173.0,42.553960248827934
132,194.0,90.37474608421326,174.0,37.44357353448868
133,196.0,63.65749263763428,164.0,26.792882040143013
134,197.0,103.47837781906128,251.0,50.134005934000015
135,199.0,83.76041555404663,164.0,25.064200922846794
136,200.0,89.97688603401184,156.0,29.22628915309906
137,202.0,86.57689452171326,184.0,29.90554668009281
138,203.0,88.86803269386292,166.0,38.290711998939514
139,205.0,95.8858106136322,192.0,49.09921759366989
140,206.0,52.53964114189148,129.0,17.955323323607445
141,208.0,82.16783404350281,137.0,35.82411178946495
142,209.0,75.17202425003052,175.0,30.300331950187683
143,211.0,72.76701235771179,187.0,30.4343923330307
144,212.0,85.77354192733765,187.0,34.33549056947231
145,214.0,110.29447650909424,193.0,34.82466998696327
146,215.0,86.86429905891418,148.0,31.950864762067795
147,217.0,113.61246180534363,195.0,47.75997342169285
148,218.0,91.77138805389404,214.0,44.97072948515415
149,220.0,60.56042408943176,111.0,20.549442872405052
150,220.0,60.45047473907471,130.0,18.083519220352173
151,222.0,82.16442704200745,156.0,29.19565261900425
152,223.0,110.49459719657898,251.0,47.769064381718636
153,225.0,62.443801164627075,123.0,25.06928923726082
154,226.0,69.46012139320374,188.0,26.820068031549454
155,227.0,64.1487991809845,167.0,29.340694278478622
156,229.0,91.07724595069885,211.0,33.400868251919746
157,230.0,110.19689846038818,166.0,37.80132552981377
158,232.0,80.96931266784668,160.0,29.916659832000732
159,233.0,83.77266550064087,147.0,27.837412744760513
160,234.0,84.07641959190369,208.0,33.86327691376209
161,236.0,117.81528759002686,305.0,56.852826714515686
162,237.0,139.31682562828064,256.0,57.41978155076504
163,239.0,67.45766830444336,202.0,31.718942552804947
164,239.0,110.20891451835632,221.0,53.19794665277004
165,241.0,91.46466732025146,183.0,34.6212265342474
166,242.0,93.98003935813904,255.0,45.04525437951088
167,244.0,92.07466173171997,186.0,39.49650163948536
168,245.0,93.48215913772583,251.0,41.42479582130909
169,247.0,61.05418252944946,207.0,30.866446003317833
170,248.0,93.48551917076111,236.0,41.14721617102623
