left,right,split,task_count,both_success,left_only_success,right_only_success,both_failure,mcnemar_exact_pvalue
adaptive,full,all,274,6,14,20,234,0.39152830513194203
adaptive,full,seen,140,2,7,10,121,0.629058837890625
adaptive,full,unseen,134,4,7,10,113,0.629058837890625
