turn,trajectory_count,success_trajectory_count,failure_trajectory_count,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student,student_surprisal_mean,teacher_surprisal_mean,sampled_reverse_kl_mean,sampled_reverse_kl_token_weighted,student_topk_mass_mean,teacher_topk_mass_mean,valid_action_rate,mean_response_tokens
0,2416,1439,977,0.11686376416523397,0.14673904458655593,0.029875280421321954,0.117700662492696,0.3274454844419308,0.20974482194923383,0.21065613239975028,0.9999322310553171,0.9999252337001652,0.9975165562913907,62.836920529801326
1,2416,1439,977,0.11904640889982553,0.15190566075072134,0.03285925185089582,0.12070795827477583,0.3530332859230475,0.23232532764826985,0.24132599315541,0.9999327795277676,0.999892666001394,0.9855132450331126,60.78435430463576
2,2416,1439,977,0.11811811608779926,0.138092829910359,0.019974713822559748,0.11934824922356865,0.3294323837695089,0.2100841345459401,0.2178468746241435,0.9999188993560435,0.9999227006213113,0.9627483443708609,59.84685430463576
3,2396,1419,977,0.09804820097723349,0.11022499295431912,0.012176791977085627,0.09953296212281768,0.2779422706083485,0.17840930848553083,0.17909848751852384,0.9999122810907302,0.9999082519874136,0.9461602671118531,60.52295492487479
4,2136,1159,977,0.11183500132869308,0.12331532421125624,0.011480322882563163,0.11330261539565736,0.3013950657986535,0.1880924504029963,0.19086742791870404,0.9998967680018106,0.9998839015145443,0.9105805243445693,61.94616104868914
5,2025,1048,977,0.10634453914896691,0.12011775045760754,0.013773211308640634,0.10666427069152543,0.2894825580913436,0.1828182873998185,0.18669430989507194,0.9998599578782683,0.9998438758656685,0.8834567901234568,62.0641975308642
6,1752,775,977,0.11419945320573965,0.13290974891707935,0.018710295711339697,0.11710088509069648,0.30554424204551983,0.18844335695482278,0.19198645086850494,0.9998270055038657,0.9998041501909815,0.8253424657534246,62.09988584474886
7,1544,567,977,0.11724382374232102,0.1394766640146515,0.02223284027233048,0.11959793196784782,0.3076824321031381,0.18808450013528985,0.19268144132558862,0.9998056250719503,0.9997632514744055,0.8115284974093264,61.33160621761658
8,1377,400,977,0.125315412079533,0.1505991256043306,0.025283713524797607,0.1265451980518181,0.3196348802603416,0.19308968220852343,0.1981360000521888,0.9997774485563652,0.9997370982391462,0.7523602033405955,61.31735657225853
9,1277,300,977,0.12467527072750019,0.15879296316021568,0.03411769243271549,0.12456009280339518,0.3165165754112435,0.19195648260784787,0.19662710987182141,0.9997800614944942,0.9997217166982814,0.7157400156617071,61.378230227094754
10,1208,233,975,0.11792732493914761,0.15100623587335493,0.033078910934207326,0.1192868980045715,0.29507100752958376,0.17578410952501217,0.18171325908831532,0.9997628836500315,0.9997190090882982,0.6870860927152318,61.87582781456954
11,1133,188,945,0.11623434237576366,0.1495377441445845,0.03330340176882085,0.1199373641030202,0.29145385759233655,0.17151649348931566,0.1770015488967249,0.9997380884599958,0.9996942263127874,0.6743159752868491,62.050308914386584
12,1056,150,906,0.10886839907729202,0.1408855822592046,0.03201718318191259,0.11119681389925902,0.2681198284686343,0.15692301456937474,0.16078100626774877,0.9997732863650081,0.9997165511895081,0.6439393939393939,61.645833333333336
13,975,107,868,0.09760514282826845,0.13089801760544398,0.03329287477717553,0.09929885378454056,0.24435889129056584,0.14506003750602542,0.14766752512719244,0.9997930057244826,0.9997495770395185,0.6153846153846154,62.12307692307692
14,882,87,795,0.09323277626601606,0.12412591574560658,0.03089313947959052,0.09615996441210209,0.22659978129517966,0.13043981688307738,0.13498406711313363,0.9997636303443067,0.9997331904442298,0.5793650793650794,63.326530612244895
15,761,72,689,0.0873366373746589,0.1168261530128577,0.029489515638198807,0.09082824657004221,0.2305534362094702,0.13972518963942787,0.13242964590726533,0.9998035405317197,0.9997269792735373,0.5703022339027596,62.92772667542707
16,647,57,590,0.08207802888847435,0.1094326869251124,0.027354658036638058,0.08736503861056479,0.21751468507144428,0.13014964646087948,0.11954443439383824,0.9997859405685222,0.9997534641612158,0.5193199381761978,63.34003091190108
17,558,39,519,0.07701457950670157,0.10425034066495704,0.027235761158255475,0.07892882592282975,0.19571533724889673,0.1167865113260674,0.1150277858690577,0.9998271592328992,0.9997822373526472,0.5197132616487455,63.541218637992834
18,501,34,467,0.06797612272304084,0.09323790554666246,0.025261782823621626,0.06635039060174844,0.1723681709955047,0.10601778039375609,0.0965017292090742,0.9998443079726698,0.9998022101425105,0.499001996007984,63.4750499001996
19,441,19,422,0.06207656794463065,0.08644304745949334,0.02436647951486269,0.06490651522294952,0.1597439338113948,0.09483741858844523,0.09162133593858243,0.9998587459822861,0.9998172107484729,0.47165532879818595,64.82312925170068
20,375,10,365,0.05703713445985564,0.079902732536021,0.022865598076165353,0.06247816095365949,0.1520076445389498,0.08952948358529024,0.08870554550329657,0.9998784890135912,0.9998146378818878,0.464,64.40533333333333
21,274,3,271,0.04484322106254026,0.06510834225474316,0.020265121192202896,0.04805760499049982,0.11808362887615143,0.07002602388565166,0.06221625935608137,0.9998803745824277,0.9998451972875266,0.36496350364963503,61.25547445255474
22,170,1,169,0.03348303668037798,0.04854083061756827,0.01505779393719029,0.0336498877923748,0.08883305015804141,0.05518316236566662,0.05099774562951113,0.9999068419919128,0.9998886546650448,0.25882352941176473,60.082352941176474
23,110,0,110,0.01790960060113626,0.02815246511015654,0.010242864509020282,0.013655785095519906,0.04283737060538221,0.029181585509862298,0.027026403518492954,0.9999380103430582,0.9999429171596053,0.17272727272727273,55.027272727272724
24,66,0,66,0.013167185177044011,0.023514082774122296,0.010346897597078285,0.014865459835440239,0.030938829807899287,0.016073369972459024,0.02128354671480831,0.9998957135183105,0.9999214019005924,0.15151515151515152,54.015151515151516
25,29,0,29,0.019108485355114727,0.030153904883731115,0.011045419528616388,0.0217950200443211,0.05085486007113104,0.029059840026809943,0.027946565111885893,0.9998835948116603,0.9999083451028987,0.034482758620689655,50.37931034482759
26,11,0,11,0.008604690900892937,0.018897392999127825,0.010292702098234888,0.0027190829748709668,0.010917959621714842,0.008198876646843878,0.011615969845092883,0.9998538840442911,0.9999259114169203,0.0,47.81818181818182
27,2,0,2,0.0005947282250574117,0.002025151568912852,0.0014304233438554403,6.892095843394032e-05,0.00030841854620656964,0.00023949758777262932,0.00023773164414771513,0.999998948841341,0.9999869317525909,0.0,51.5
28,1,0,1,7.836871889125297e-05,0.0011359823858390072,0.0010576136669477542,7.128424445923543e-06,0.00017962534124524865,0.0001724969167993251,0.0001724969167993251,0.9999998614192009,0.9999995872378349,0.0,40.0
