trainer_step,time_read_experience_sec,time_train_step_sec,time_step_sec,time_trainer_sync_interval_sec,time_sync_weight_sec,time_save_checkpoint_sec,sample_model_version,sample_task_count,critic_score_mean,perf_throughput_tokens_sec,actor_pg_loss,actor_final_loss,actor_ppo_kl,actor_grad_norm,actor_lr
31,123.60932183265686,13.442099571228027,13.433071490377188,137.19933223724365,1.170619249343872,,30.0,9.0,0.875,6334.254981145105,0.07622331805760041,0.07622331799939275,0.00035529485103324987,13.127167701721191,1e-06
32,0.05680394172668457,41.55161929130554,41.53939372673631,,,,30.0,3.0,0.0,5755.151400924961,0.014429292471807761,0.014429292311736694,8.578078541177092e-05,8.117694854736328,1e-06
33,78.75856924057007,14.88481593132019,14.874618735164404,136.95405888557434,1.0350885391235352,,31.0,7.0,1.0,6530.621169492876,0.04711364838294685,0.04711364861577749,-0.00018614902801346035,9.88329029083252,1e-06
34,143.48953771591187,24.391231775283813,24.379736080765724,168.2305235862732,2.5709006786346436,,33.0,6.0,0.375,6090.303828889378,0.03393577152330961,0.03393577132374048,-0.0005193840302776412,10.904901504516602,1e-06
35,0.04625058174133301,43.7325279712677,43.720597963780165,,,,33.0,3.0,0.0,5858.165531317339,0.010928340758255217,0.010928340818888197,0.000210142564537108,7.222465991973877,1e-06
36,86.93298292160034,20.601295948028564,20.589609708637,152.86880683898926,1.4016361236572266,,34.0,8.0,0.65625,6193.147990877641,0.034416901568571724,0.03441690172379216,0.000613851094385609,11.592312812805176,1e-06
37,123.25875663757324,14.792042255401611,14.78181803971529,138.52973890304565,1.302070140838623,,36.0,8.0,1.0,6233.84077333527,0.0496935875620693,0.04969358686357737,0.0002653940871823579,10.935932159423828,1e-06
38,0.04696393013000488,42.33373284339905,42.3194183409214,,,,36.0,3.0,0.15625,5727.737041357513,0.012997742863565994,0.012997742485216198,0.0006325636021493608,6.850555896759033,1e-06
39,48.288827419281006,12.913834571838379,12.90451479330659,105.4509608745575,1.165745735168457,,37.0,9.0,1.0,6598.775805516401,0.058777054422535,0.05877705430611968,-2.0430999938980676e-05,11.909781455993652,1e-06
40,87.85554027557373,19.865092515945435,19.851916521787643,108.4084370136261,1.0373637676239014,27.275938987731934,39.0,10.0,0.703125,6022.390829056041,0.031392616763090096,0.03139261668547988,0.0010081427856979037,11.957036018371582,1e-06
41,0.049924373626708984,45.738389015197754,45.72480285912752,,,,39.0,3.0,0.0,5638.088824445051,0.01001211750068857,0.010012117423078356,0.0003091911688291778,8.103728294372559,1e-06
42,65.5190532207489,20.75834631919861,20.747102215886116,161.23685932159424,1.5050134658813477,,40.0,7.0,0.765625,6250.222255169122,0.040167387791111,0.040167387441865036,0.0006205697042917434,12.631708145141602,1e-06
43,114.09208703041077,15.11568307876587,15.105190884321928,129.78853607177734,1.145754098892212,,42.0,9.0,0.859375,6172.083538299828,0.046050953585654496,0.04605095386505127,-8.035048958845436e-05,12.677570343017578,1e-06
44,0.04852128028869629,41.73830699920654,41.72806619852781,,,,42.0,3.0,0.0,5751.308935770117,0.011100578638433944,0.011100578509892026,0.000625969758402789,11.946817398071289,1e-06
45,74.37701988220215,12.100529670715332,12.090314511209726,129.31262731552124,1.073704481124878,,43.0,10.0,0.8125,6602.599123950553,0.05793322192039341,0.05793322203680873,0.0005385081044551043,11.525853157043457,1e-06
46,116.26655387878418,17.198312044143677,17.187649205327034,133.8712089061737,1.3321702480316162,,45.0,8.0,0.890625,6243.1458030189815,0.045873933285474774,0.045873932726681235,0.0012935271952301264,11.334552764892578,1e-06
47,0.04740285873413086,40.88110542297363,40.868493374437094,,,,45.0,3.0,0.0,5875.320575193758,0.010129173356593432,0.010129173344466835,0.0009442911262643369,7.435800075531006,1e-06
48,70.68708753585815,12.049046754837036,12.04025585949421,125.3960554599762,1.1468336582183838,,46.0,10.0,1.0,6655.381823702061,0.0528964382247068,0.052896438632160425,0.0009283933613914996,11.532652854919434,1e-06
49,110.37885808944702,18.615748405456543,18.60380783677101,129.28110337257385,1.0365970134735107,,48.0,7.0,0.734375,5933.113315749984,0.04110785682375232,0.04110785604765018,6.764359234997148e-05,10.313167572021484,1e-06
50,0.054108619689941406,43.56790494918823,43.555919487029314,,,,48.0,3.0,0.0,5821.240901033108,0.008838898519267483,0.008838898480462376,-0.00016224373151392987,5.294759273529053,1e-06
51,76.0259165763855,12.921832084655762,12.912437975406647,133.98510813713074,1.3115191459655762,,49.0,9.0,0.96875,6619.3928801666325,0.06099115818506107,0.06099115824326873,0.0013558158971136436,10.278045654296875,1e-06
52,118.20492815971375,19.554062366485596,19.543895926326513,138.27042865753174,1.354015827178955,,51.0,6.0,1.0,6136.775413260368,0.030493243869083624,0.030493243442227442,0.0015541425770303856,7.965548992156982,1e-06
53,0.047887325286865234,45.990532636642456,45.978450529277325,,,,51.0,3.0,0.0625,5832.221332235808,0.006154698564876946,0.006154698524579334,0.0002935724032533052,10.929752349853516,1e-06
54,95.22507619857788,16.454984188079834,16.44518394768238,159.02476358413696,1.052457571029663,,52.0,9.0,0.96875,6430.2412387976265,0.04677942984271795,0.04677942935377359,0.0004950685703079216,12.79124641418457,1e-06
55,118.30552315711975,25.157970905303955,25.148004233837128,143.85213613510132,1.230316162109375,,54.0,7.0,0.546875,6011.212603368256,0.015674199548811885,0.01567419931598124,0.0012627278336196923,5.9268293380737305,1e-06
56,0.05798649787902832,40.20454931259155,40.19226999208331,,,,54.0,4.0,0.0,5758.470473192681,0.013101468418343839,0.013101468439510261,0.0004901688199342144,7.851731300354004,1e-06
57,96.69174098968506,20.567951440811157,20.5579570569098,159.35192036628723,1.218367576599121,,55.0,7.0,0.609375,6256.166390656563,0.03415636006199444,0.034156359382905066,0.0009408816025218888,12.055867195129395,1e-06
58,147.07516860961914,17.77716612815857,17.76811945810914,165.6236653327942,1.2201564311981201,,57.0,7.0,0.953125,6109.200259257579,0.04279925553904226,0.042799255500237145,0.0007166629711718997,10.806294441223145,1e-06
59,0.04723644256591797,39.10453820228577,39.09357249736786,,,,57.0,3.0,0.0,5850.590912749138,0.010947652178319086,0.01094765213466334,0.0004685781343803021,9.001235961914062,1e-06
60,79.19070219993591,14.162460565567017,14.154516812413931,133.7442009449005,1.1175639629364014,26.789416313171387,58.0,9.0,1.0,6577.017162348726,0.047371060494333504,0.04737106077373028,-0.000315176800268091,11.44674301147461,1e-06
61,114.51622891426086,20.66572618484497,20.654118057340384,162.15411567687988,1.499685287475586,,60.0,6.0,0.90625,6124.517137396902,0.031099583546165377,0.03109958302229643,-0.0002757168816363749,14.347404479980469,1e-06
62,0.047363996505737305,42.724175453186035,42.71210943907499,,,,60.0,3.0,0.0,5689.967159001156,0.006778367030013517,0.006778366996059049,0.00027159133268354435,8.067221641540527,1e-06
63,71.00338172912598,16.057520151138306,16.04648096859455,131.11903357505798,1.351600170135498,,61.0,8.0,0.78125,6457.584077331555,0.04121726476587355,0.04121726471930742,0.0005296051487675868,9.165143013000488,1e-06
64,91.8025016784668,16.170610666275024,16.16156131401658,108.75726914405823,1.2819137573242188,,63.0,10.0,1.0,5901.966904476896,0.04759802827611566,0.04759802799671888,0.0006396486856829142,10.755330085754395,1e-06
65,0.04571342468261719,39.64807343482971,39.63556947186589,,,,63.0,3.0,0.078125,5943.638583702424,0.014639762351924384,0.014639762113802135,0.000873986626670971,8.9555025100708,1e-06
66,59.552239656448364,14.161828756332397,14.151744592934847,115.19069409370422,1.3027775287628174,,64.0,8.0,1.0,6539.229095909535,0.036373891145922245,0.03637389149516821,0.001344480445550289,9.802811622619629,1e-06
67,90.3855185508728,12.017365455627441,12.008667562156916,102.58059859275818,1.153677225112915,,66.0,11.0,1.0,6114.7083654309345,0.05746132059721276,0.057461321353912354,0.0012734696933875966,13.223638534545898,1e-06
68,0.04689526557922363,36.347545862197876,36.33560663461685,,,,66.0,3.0,0.125,5846.813076119162,0.011741533296662965,0.011741533354506829,0.0011995130123978015,7.956479549407959,1e-06
69,78.60311508178711,14.626712799072266,14.618357352912426,114.65611481666565,1.32796049118042,,67.0,10.0,0.875,5745.5497886885705,0.045366767240921035,0.04536676732823253,0.0009986010954889935,9.603230476379395,1e-06
70,129.86527299880981,19.64329504966736,19.62641716003418,166.07018280029297,1.1140248775482178,,68.0,8.0,0.765625,6355.617481422308,0.03317835335231697,0.03317835306127866,0.00011575412888002272,9.535755157470703,1e-06
71,65.20817613601685,12.943103313446045,12.930912874639034,78.3339159488678,1.124133825302124,,70.0,11.0,1.0,6201.224985226608,0.05040022425237112,0.05040022428147495,0.0005175790147404769,15.016884803771973,1e-06
72,0.045598745346069336,28.5845046043396,28.572131756693125,,,,70.0,4.0,0.53125,5666.763032550823,0.02854006471170578,0.028540064755361527,0.0011043387389690906,10.682537078857422,1e-06
73,57.85627341270447,12.997546672821045,12.988417949527502,100.95821714401245,1.087341070175171,,71.0,10.0,1.0,6538.325170163572,0.040222641167929396,0.040222641080617905,0.00018593393542687409,8.68115520477295,1e-06
74,121.45768141746521,15.24325942993164,15.234386190772057,136.9931995868683,1.017465591430664,,73.0,8.0,1.0,6356.869176564582,0.036176250060088934,0.036176249571144584,0.0013120981948304689,7.658907413482666,1e-06
75,0.04792428016662598,37.493582248687744,37.481878481805325,,,,73.0,4.0,0.046875,5752.566539712413,0.009642759821376372,0.009642759689913046,0.0009318090696152384,6.040438175201416,1e-06
76,56.35794544219971,12.993332147598267,12.985053688287735,108.86553931236267,1.1041929721832275,,74.0,9.0,1.0,6571.709447529632,0.04788483219454065,0.04788483283482492,-0.0001072352024493739,12.559008598327637,1e-06
77,87.46242356300354,13.26394534111023,13.25529445335269,100.80241990089417,1.3759474754333496,,76.0,10.0,1.0,6425.885166093462,0.049356698465999216,0.04935669805854559,0.0008335319328125479,10.80137825012207,1e-06
78,0.04718661308288574,34.559382915496826,34.54828820005059,,,,76.0,4.0,0.203125,5803.94892038982,0.010238625764031895,0.010238625737838448,0.0004987504595646896,6.641857624053955,1e-06
79,48.712632179260254,12.23990774154663,12.230599943548441,97.13466382026672,1.4273431301116943,,77.0,10.0,1.0,6691.822181885091,0.05029139303951524,0.05029139306861907,0.0017797733735278598,8.851432800292969,1e-06
80,121.17693042755127,12.6955406665802,12.687036421149969,134.42906856536865,1.3628978729248047,26.44014048576355,79.0,10.0,1.0,6277.983080999188,0.046146766224410385,0.046146766282618046,0.0010667502647265792,12.976142883300781,1e-06
81,0.04731321334838867,38.886367321014404,38.87465858832002,,,,79.0,3.0,0.125,5766.854504732725,0.009728166001960662,0.009728165906711762,0.0007977964413922481,6.820747375488281,1e-06
82,46.017574310302734,13.429942607879639,13.421052198857069,126.05777549743652,1.4808406829833984,,80.0,10.0,1.0,6517.223739540238,0.03200221206061542,0.03200221229344606,0.0003302814729977399,9.808663368225098,1e-06
83,118.83499026298523,22.826337337493896,22.815164621919394,142.56324577331543,1.032740831375122,,82.0,8.0,0.6875,5764.148634441733,0.022949145707700933,0.022949145574654852,0.0006161837417104314,7.039113521575928,1e-06
84,0.04669785499572754,38.78563857078552,38.771497305482626,,,,82.0,4.0,0.3125,5821.98304650154,0.008543281105878785,0.008543281060900137,0.00046411679370935,7.2821173667907715,1e-06
85,58.67061710357666,11.45340871810913,11.44467730820179,110.63471102714539,1.1243717670440674,,83.0,11.0,0.984375,6630.505863683722,0.04195511434227228,0.04195511434227228,0.0007024153928796295,8.895975112915039,1e-06
86,79.6711003780365,12.515238523483276,12.506764087826014,93.00647616386414,1.5208261013031006,,85.0,10.0,1.0,6256.454463402407,0.043957732763374224,0.043957732850685716,0.00047333497923318646,9.833064079284668,1e-06
87,0.05870532989501953,31.963916063308716,31.953012604266405,,,,85.0,4.0,0.421875,5923.103475217534,0.009353757689394924,0.009353757652408805,0.0008613061195824735,6.245100498199463,1e-06
88,81.3905303478241,12.294783592224121,12.28713234886527,126.76407837867737,1.4532289505004883,,86.0,10.0,1.0,6583.350590137521,0.03342447296017781,0.03342447301838547,-0.0002872426848625764,7.537301063537598,1e-06
89,91.78694462776184,13.373314380645752,13.364127293229103,105.8997106552124,1.2506322860717773,,88.0,10.0,1.0,6325.964886822984,0.0484732553595677,0.04847325524315238,-0.00023828975827200338,13.468119621276855,1e-06
90,0.04448437690734863,38.90977144241333,38.89832046627998,,,,88.0,3.0,0.203125,5995.0146228588965,0.011167648129313338,0.011167648015543818,0.0012411540976079943,6.177239418029785,1e-06
91,51.21873116493225,11.208700895309448,11.200623828917742,102.46083045005798,2.2432363033294678,,89.0,12.0,0.96875,6636.505353218564,0.03921859560068697,0.03921859571710229,0.0015859961185924476,7.713679790496826,1e-06
92,111.89729857444763,14.817312717437744,14.806581739336252,127.48150491714478,0.9278779029846191,,91.0,10.0,1.0,6156.721490809567,0.030530444299802183,0.030530444346368313,0.0009636297647375614,8.232410430908203,1e-06
93,0.051727294921875,33.07224225997925,33.06105390936136,,,,91.0,4.0,0.375,5878.049155141223,0.0085743512478075,0.008574351271090564,0.0003650362130201756,6.736001014709473,1e-06
94,63.05087471008301,11.475473642349243,11.467641949653625,108.95339345932007,2.3347256183624268,,92.0,11.0,1.0,6600.049106197119,0.04241375086712651,0.042413751129060984,0.00047250251009245403,9.88984489440918,1e-06
95,108.56921148300171,15.621899366378784,15.612935606390238,124.2706778049469,1.3575019836425781,,94.0,9.0,0.75,6152.462446632028,0.03504183986224234,0.03504183990880847,0.0012433198833605274,9.89360237121582,1e-06
96,0.046405792236328125,43.17785930633545,43.16704597696662,,,,94.0,3.0,0.0,5942.067477512033,0.007757379070199022,0.0077573791041534905,-0.00010812066190032017,5.701353073120117,1e-06
97,68.8733971118927,11.560051202774048,11.55154088884592,125.19231963157654,1.4239022731781006,,95.0,9.0,1.0,6521.857189870255,0.05007239896804094,0.05007239896804094,0.00025822180539591955,12.22326946258545,1e-06
98,94.84668827056885,14.940747499465942,14.931683491915464,110.51652789115906,0.94002366065979,,97.0,9.0,1.0,6127.574298607293,0.02941831136122346,0.029418311081826687,-0.0004852690510233515,9.138020515441895,1e-06
99,0.04468345642089844,23.38438105583191,23.373831424862146,,,,97.0,5.0,0.6875,5985.66822259116,0.025723403968316103,0.02572340378537774,-0.00012660890622230778,9.198506355285645,1e-06
100,73.7688102722168,11.633569955825806,11.625268127769232,110.26739978790283,1.3077785968780518,27.2609646320343,98.0,10.0,1.0,6626.083730146296,0.04205993711366318,0.04205993679352105,2.8140698873357906e-05,18.525257110595703,1e-06
101,61.3778772354126,14.65802001953125,14.647511322051287,88.63744449615479,0.8495028018951416,,100.0,11.0,1.0,5993.612025261462,0.027580875717103482,0.027580875717103482,-7.29190418496728e-05,6.6407904624938965,1e-06
102,0.04610180854797363,37.70664644241333,37.69611217081547,,,,100.0,3.0,0.125,5958.041481367478,0.007917401441690427,0.007917401421846907,-0.0005095050506001412,6.8758111000061035,1e-06
103,140.50899410247803,13.91005277633667,13.901533547788858,99.44454717636108,1.1322083473205566,,102.0,8.0,1.0,6150.976056422255,0.04551127250306308,0.045511272735893726,0.0010168712797167245,10.753389358520508,1e-06
104,0.04361724853515625,24.84280562400818,24.83266008645296,,,,102.0,5.0,1.0,5732.974216389521,0.02772904296372352,0.027729042872254337,0.0012444841184852912,12.05422592163086,1e-06
105,40.699315309524536,10.759082794189453,10.751320220530033,77.83757591247559,1.2066147327423096,,103.0,11.0,1.0,6626.255988912203,0.03945887298323214,0.0394588727504015,8.780691359788761e-05,9.723031044006348,1e-06
106,116.03476047515869,16.444242477416992,16.43384750559926,133.12522172927856,1.5227141380310059,,105.0,10.0,0.984375,6216.042832647361,0.029035215731710196,0.029035215452313422,0.0006686969485599547,9.249425888061523,1e-06
107,0.04388427734375,35.74799466133118,35.737213995307684,,,,105.0,3.0,0.0,5893.464443749141,0.010513031773780313,0.01051303175349858,-0.0007888105299628023,9.182982444763184,1e-06
108,80.23934006690979,16.911755323410034,16.902396123856306,134.1841938495636,1.6177821159362793,,106.0,8.0,1.0,6380.426728242784,0.01772996550425887,0.01772996534903844,0.0006187964293834133,7.615569591522217,1e-06
109,64.46188545227051,12.171651840209961,12.163409225642681,77.570072889328,1.0249881744384766,,108.0,10.0,1.0,6160.937168998396,0.04092959326226264,0.040929593378677964,0.0008240147653850727,9.36635971069336,1e-06
110,0.04689192771911621,28.255857706069946,28.24464189261198,,,,108.0,5.0,0.390625,5995.331809970429,0.021939768601441756,0.021939768572337925,2.6537863959674723e-05,15.19397258758545,1e-06
111,92.0867829322815,15.949165344238281,15.939663425087929,137.78973960876465,1.459237813949585,,109.0,8.0,1.0,6488.781929812263,0.02053858431754634,0.02053858395665884,0.0006069359602406621,4.712333679199219,1e-06
112,129.98517107963562,25.82173204421997,25.811130542308092,156.57446908950806,1.2550909519195557,,111.0,7.0,0.53125,6042.257612248468,0.013160644824893097,0.013160644766685436,0.00017212838338309666,6.030799865722656,1e-06
113,0.04867887496948242,35.79451942443848,35.78379023447633,,,,111.0,3.0,0.1875,5802.026522052643,0.012283848173683509,0.012283848144579678,0.0004798040918103652,7.381096363067627,1e-06
114,82.35496973991394,15.300331354141235,15.291348721832037,134.61551117897034,1.2639203071594238,,112.0,8.0,0.8125,6553.901936518848,0.0266681786859408,0.026668178476393224,-6.93460606271401e-05,7.26799201965332,1e-06
115,91.43925333023071,11.193464040756226,11.185212515294552,102.74596452713013,1.4553263187408447,,114.0,11.0,1.0,6318.386879405563,0.027355579455615953,0.027355579426512122,0.00018989144064107677,5.163845062255859,1e-06
116,0.048162221908569336,35.0370306968689,35.02515273541212,,,,114.0,3.0,0.265625,6011.222894315314,0.00888192218299082,0.008881922227010364,4.376329076762886e-05,5.972108840942383,1e-06
117,78.45672488212585,15.674981117248535,15.666635408997536,114.53289318084717,1.3824105262756348,,115.0,8.0,1.0,5751.554028521668,0.029628803906962275,0.029628803394734858,0.000549811206292361,7.106841087341309,1e-06
118,68.24879026412964,10.063026666641235,10.05537186563015,95.14314246177673,1.3886590003967285,,116.0,11.0,1.0,6641.276015684677,0.04272415323066525,0.04272415302693844,0.0018648715413291939,6.731168270111084,1e-06
119,134.32530331611633,17.179344177246094,17.16798209398985,151.98711037635803,1.5004932880401611,,118.0,9.0,0.78125,5982.823108602709,0.025881349202245475,0.025881349015980958,-0.00012878787820227444,9.594086647033691,1e-06
120,0.04725360870361328,40.44344997406006,40.43189547583461,,,25.963314294815063,118.0,3.0,0.0,5853.138894797633,0.007151285816841361,0.007151285792588169,0.0004703895169958135,7.03911018371582,1e-06
121,22.994744062423706,15.511568546295166,15.502847898751497,106.09766912460327,0.9899795055389404,,119.0,10.0,1.0,6160.481004763737,0.022388900420628487,0.02238890007138252,0.0002428735780995339,5.8722453117370605,1e-06
122,83.72368884086609,12.58237600326538,12.573948938399553,97.10941338539124,1.2832920551300049,,121.0,9.0,1.0,6416.08299788981,0.034320449689403176,0.034320449689403176,-5.378685182222398e-05,6.652622222900391,1e-06
123,0.04548168182373047,25.429316520690918,25.41810617223382,,,,121.0,6.0,0.671875,6047.185378740263,0.01372584177806857,0.013725841796258464,-6.390197950167931e-05,6.294095516204834,1e-06
124,66.48236441612244,12.735869646072388,12.726953878998756,106.6021339893341,1.3486809730529785,,122.0,10.0,1.0,6141.414571241383,0.031980318017303944,0.03198031825013459,0.00014589532838726882,8.383106231689453,1e-06
125,109.7279257774353,15.230315208435059,15.22064533084631,125.88750696182251,0.8930773735046387,,124.0,10.0,0.953125,6182.1951668042675,0.02698510242626071,0.026985102519392967,0.0008168515127181308,7.785721778869629,1e-06
126,0.04699110984802246,38.19852423667908,38.18771056830883,,,,124.0,3.0,0.0,5939.292945941178,0.008565270745252334,0.008565270672162032,0.0012048314796660716,14.637067794799805,1e-06
127,40.323142290115356,10.317775249481201,10.30944799631834,90.80134987831116,2.5439860820770264,,125.0,10.0,1.0,6656.030470739582,0.028886112151667476,0.028886111918836832,-7.76445449446328e-05,7.745753288269043,1e-06
128,87.31491589546204,9.421191930770874,9.413671430200338,96.91402268409729,1.0233323574066162,,127.0,11.0,0.9375,6412.694605670477,0.057755398796871305,0.057755397632718086,-0.00035266039049020037,10.562749862670898,1e-06
129,0.047252655029296875,34.660481214523315,34.64709750562906,,,,127.0,3.0,0.296875,5792.938354140378,0.012970044904795941,0.012970044929534196,0.0005809556523672654,10.180316925048828,1e-06
130,52.560991525650024,13.41767430305481,13.407960884273052,102.43450260162354,1.0681133270263672,,128.0,10.0,0.84375,6468.843454170214,0.024981121375458316,0.024981121020391583,0.00035631565824587594,7.148416996002197,1e-06
131,88.11666345596313,14.694545984268188,14.685688335448503,103.2174117565155,1.403273105621338,,130.0,9.0,1.0,6140.910656691107,0.021619534981437028,0.021619534771889447,0.0007605710648931563,5.9947590827941895,1e-06
132,0.04975152015686035,28.376688241958618,28.365332771092653,,,,130.0,5.0,0.5625,5967.513279890197,0.016031575869419612,0.016031575854867697,0.0004954003170496435,9.742350578308105,1e-06
133,63.38199162483215,15.73816728591919,15.72797304391861,92.80424547195435,1.3657197952270508,,131.0,9.0,1.0,6014.538538173344,0.021033666329458356,0.02103366646915674,8.729938490432687e-05,6.9633073806762695,1e-06
