experience_count,experience_pipeline_total_sec,explorer_step,finished_task_count,model_version,rollout_rounds_mean_from_log,rollout_run_execution_mean_sec,rollout_success_rate_from_log,rollout_task_execution_mean_sec,rollout_wait_explore_step_sec
213.0,0.4373338222503662,53,16.0,77.0,13.3125,32.94859433174133,0.75,32.962089225649834,84.56643891334534
252.0,0.5862617492675781,54,16.0,79.0,15.75,45.472734689712524,0.625,45.48770497739315,121.30244541168213
252.0,0.6401300430297852,55,16.0,80.0,15.75,44.10980466008186,0.625,44.12518538534641,112.39298057556152
304.0,0.6620292663574219,56,16.0,82.0,19.0,60.734597355127335,0.5,60.75203050673008,118.88890814781189
234.0,0.518136739730835,57,16.0,83.0,14.625,39.81653840839863,0.6875,39.83075188100338,98.38968229293823
241.0,0.5163023471832275,58,16.0,85.0,15.0625,37.17873151600361,0.6875,37.1933528482914,79.46333050727844
257.0,0.552311897277832,59,16.0,86.0,16.0625,48.28178711235523,0.625,48.29670386016369,114.49596953392029
257.0,0.5292630195617676,60,16.0,88.0,16.0625,40.25037460029125,0.625,40.265256121754646,92.08356237411499
212.0,0.426607608795166,61,16.0,89.0,13.25,34.66543607413769,0.6875,34.679145112633705,91.36748909950256
238.0,0.504197359085083,62,16.0,91.0,14.875,43.91669911146164,0.6875,43.931054681539536,112.68598675727844
193.0,0.4220435619354248,63,16.0,92.0,12.0625,32.54548358917236,0.8125,32.5578536093235,97.07471704483032
288.0,0.5493936538696289,64,16.0,94.0,18.0,51.565508499741554,0.5,51.58193166553974,109.48873686790466
261.0,0.5082950592041016,65,16.0,95.0,16.3125,45.14998218417168,0.625,45.16569010913372,113.2959201335907
228.0,0.48107409477233887,66,16.0,97.0,14.25,39.39120289683342,0.75,39.405265256762505,94.98404955863953
250.0,0.4981207847595215,67,16.0,98.0,15.625,43.47143191099167,0.625,43.4865809828043,97.98937773704529
222.0,0.5673127174377441,68,16.0,100.0,13.875,35.96713501214981,0.6875,35.98121386766434,88.77035069465637
288.0,0.5501079559326172,69,16.0,100.0,18.0,45.94872149825096,0.5625,45.965420573949814,107.29174256324768
257.0,0.7448482513427734,70,16.0,102.0,16.0625,41.96870297193527,0.75,41.983825489878654,84.76145315170288
155.0,0.40770554542541504,71,16.0,103.0,9.6875,23.34787106513977,0.875,23.35871694982052,66.65599346160889
273.0,0.5584897994995117,72,16.0,105.0,17.0625,51.11808577179909,0.5625,51.13400790095329,115.90893912315369
307.0,0.7875840663909912,73,16.0,106.0,19.1875,59.23372745513916,0.5,59.25132900476456,117.00432205200195
209.0,0.5184800624847412,74,16.0,108.0,13.0625,30.296953961253166,0.75,30.310365706682205,64.74970316886902
296.0,0.5843284130096436,75,16.0,109.0,18.5,55.84148716926575,0.5625,55.8585467338562,121.00478458404541
337.0,0.703446626663208,76,16.0,111.0,21.0625,68.38669872283936,0.4375,68.40530586242676,130.00217032432556
322.0,0.5894088745117188,77,16.0,112.0,20.125,62.3799382597208,0.4375,62.39801023900509,119.10231971740723
231.0,0.4816606044769287,78,16.0,114.0,14.4375,38.08594137430191,0.6875,38.1001338660717,91.4801299571991
283.0,0.5494880676269531,79,16.0,115.0,17.6875,55.14839522540569,0.625,55.164836168289185,114.59008407592773
196.0,0.42946386337280273,80,16.0,116.0,12.25,28.462037041783333,0.75,28.474609285593033,85.25787925720215
290.0,0.7441432476043701,81,16.0,118.0,18.125,54.608140617609024,0.5,54.62459570169449,134.10630750656128
220.0,0.5383353233337402,82,16.0,119.0,13.75,35.8431431055069,0.75,35.85743473470211,90.6171293258667
197.0,0.44119930267333984,83,16.0,121.0,12.3125,29.57229632139206,0.8125,29.58480191230774,83.66967296600342
249.0,0.5194363594055176,84,16.0,122.0,15.5625,41.14693780243397,0.625,41.16159914433956,92.98890113830566
271.0,0.5435507297515869,85,16.0,124.0,16.9375,49.79109488427639,0.5625,49.80735296010971,109.68108654022217
231.0,0.46385908126831055,86,16.0,125.0,14.4375,32.69935888051987,0.6875,32.71323451399803,79.3646137714386
229.0,0.44698286056518555,87,16.0,127.0,14.3125,34.69353371858597,0.6875,34.70741009712219,88.47634196281433
264.0,0.5079772472381592,88,16.0,128.0,16.5,43.31238427758217,0.5625,43.32762202620506,88.07803392410278
220.0,0.48223090171813965,89,16.0,130.0,13.75,36.29586996138096,0.75,36.3092502951622,87.98911881446838
274.0,0.5128459930419922,90,16.0,131.0,17.125,46.44765621423721,0.5625,46.463574424386024,92.97900247573853
220.0,0.4443998336791992,91,16.0,132.0,13.75,35.1639501452446,0.75,35.17753718793392,86.87303256988525
242.0,0.5232217311859131,92,16.0,134.0,15.125,41.74963554739952,0.625,41.76408503949642,110.88139295578003
289.0,0.855787992477417,93,16.0,135.0,18.0625,54.75200778245926,0.5625,54.76881904900074,123.91050910949707
191.0,0.4385240077972412,94,16.0,137.0,11.9375,32.680479511618614,0.8125,32.69305168092251,93.66418361663818
243.0,0.7111506462097168,95,16.0,138.0,15.1875,41.53062501549721,0.6875,41.54568490386009,111.3998498916626
185.0,0.5580534934997559,96,16.0,140.0,11.5625,29.61776912212372,0.8125,29.630155757069588,87.67727589607239
280.0,0.5646483898162842,97,16.0,141.0,17.5,50.54363937675953,0.5625,50.55971121788025,111.20172715187073
260.0,0.5359282493591309,98,16.0,143.0,16.25,46.72609616816044,0.625,46.741210490465164,113.08801198005676
277.0,0.5184895992279053,99,16.0,144.0,17.3125,46.604886278510094,0.5625,46.62090612947941,96.18513226509094
190.0,0.37721824645996094,100,16.0,146.0,11.875,26.734521716833115,0.8125,26.746874034404755,69.05032992362976
211.0,0.5802593231201172,101,16.0,147.0,13.1875,35.306609347462654,0.75,35.319984808564186,88.57064008712769
265.0,0.5206413269042969,102,16.0,149.0,16.5625,42.570630729198456,0.625,42.58642479777336,93.17558288574219
232.0,0.48787426948547363,103,16.0,150.0,14.5,35.623225927352905,0.6875,35.637401193380356,83.36591100692749
195.0,0.4461934566497803,104,16.0,152.0,12.1875,34.42713609337807,0.8125,34.43999773263931,113.60443353652954
229.0,0.4741702079772949,105,16.0,153.0,14.3125,36.96414631605148,0.75,36.97833141684532,92.47965383529663
182.0,0.39843058586120605,106,16.0,155.0,11.375,31.014957413077354,0.8125,31.02702245116234,107.10228705406189
226.0,0.7912909984588623,107,16.0,156.0,14.125,34.548583537340164,0.6875,34.562630623579025,87.57654476165771
256.0,0.5516338348388672,108,16.0,158.0,16.0,43.346602723002434,0.6875,43.36252200603485,84.8661994934082
325.0,1.0008196830749512,109,16.0,159.0,20.3125,68.65140672028065,0.4375,68.6696244776249,142.81334829330444
265.0,0.586296796798706,110,16.0,161.0,16.5625,41.90014722943306,0.625,41.91605068743229,85.96099996566772
287.0,0.5369973182678223,111,16.0,162.0,17.9375,52.7007277905941,0.5625,52.71719293296337,111.09954786300659
298.0,0.5643854141235352,112,16.0,164.0,18.625,49.95437639951706,0.5,49.971289828419685,110.58262991905212
341.0,0.6860404014587402,113,16.0,165.0,21.3125,65.89276996254921,0.375,65.91208498179913,118.0897445678711
265.0,0.5370073318481445,114,16.0,167.0,16.5625,45.99071353673935,0.5625,46.006067246198654,105.78474688529968
262.0,0.5504245758056641,115,16.0,168.0,16.375,43.624135598540306,0.625,43.63935886323452,89.86858677864075
281.0,0.6203417778015137,116,16.0,170.0,17.5625,49.27329523861408,0.5625,49.2897829413414,110.68722987174988
251.0,0.4823188781738281,117,16.0,171.0,15.6875,41.35106612741947,0.625,41.36627450585365,91.97830033302307
150.0,0.6197371482849121,118,16.0,173.0,9.375,24.059978380799294,0.875,24.070972740650177,78.96553778648376
247.0,0.5092036724090576,119,16.0,174.0,15.4375,36.32518172264099,0.625,36.34003682434559,80.16649270057678
230.0,0.45176124572753906,120,16.0,176.0,14.375,37.875095173716545,0.6875,37.888932049274445,104.37766098976135
196.0,0.4279634952545166,121,16.0,177.0,12.25,28.091391623020172,0.75,28.104017212986946,76.97098183631897
290.0,0.7678015232086182,122,16.0,179.0,18.125,48.787250965833664,0.5625,48.80390137434006,97.08174228668213
276.0,0.6595458984375,123,16.0,180.0,17.25,45.0964390784502,0.5625,45.11300325393677,91.67385721206665
237.0,0.49764132499694824,124,16.0,182.0,14.8125,38.49967658519745,0.6875,38.514264434576035,87.37985157966614
219.0,0.4185507297515869,125,16.0,183.0,13.6875,32.369447350502014,0.6875,32.383170664310455,79.17194056510925
258.0,0.6080174446105957,126,16.0,185.0,16.125,46.58182978630066,0.625,46.597320571541786,110.98574328422546
226.0,0.44966936111450195,127,16.0,186.0,14.125,36.32522439956665,0.75,36.391993671655655,80.76120471954346
279.0,0.5366642475128174,128,16.0,188.0,17.4375,48.62819202244282,0.5625,48.644600227475166,108.37564206123352
285.0,0.5649654865264893,129,16.0,189.0,17.8125,55.62318268418312,0.5625,55.63962994515896,123.89489078521729
185.0,0.439342737197876,130,16.0,191.0,11.5625,28.356979727745056,0.8125,28.36931447684765,87.9699285030365
186.0,0.5141196250915527,131,16.0,192.0,11.625,25.44055712223053,0.8125,25.452994033694267,69.85561656951904
236.0,0.5365781784057617,132,16.0,194.0,14.75,39.113892033696175,0.6875,39.12891089916229,105.49312043190002
295.0,0.5712878704071045,133,16.0,194.0,18.4375,51.94689370691776,0.5,51.96384055912495,112.69644546508789
287.0,0.5903983116149902,134,16.0,196.0,17.9375,51.32139328122139,0.5625,51.338130846619606,111.88973498344421
203.0,0.41248583793640137,135,16.0,197.0,12.6875,29.913319528102875,0.75,29.926190242171288,83.8643856048584
204.0,0.4065999984741211,136,16.0,198.0,12.75,30.897276386618614,0.75,30.91025510430336,82.86653542518616
165.0,0.45702147483825684,137,16.0,200.0,10.3125,25.354406118392944,0.875,25.366056695580482,64.25670170783997
248.0,0.5618758201599121,138,16.0,201.0,15.5,47.849330976605415,0.6875,47.86426015198231,113.38374543190002
223.0,0.4670376777648926,139,16.0,203.0,13.9375,36.3919633179903,0.75,36.40591302514076,93.16618275642395
176.0,0.3965718746185303,140,16.0,204.0,11.0,25.508197456598282,0.8125,25.51974220573902,83.86872434616089
152.0,0.37021970748901367,141,16.0,206.0,9.5,24.46557804942131,0.875,24.476582497358322,87.0788848400116
219.0,0.45975637435913086,142,16.0,207.0,13.6875,35.95500402152538,0.6875,35.96849225461483,88.5597665309906
255.0,0.7861607074737549,143,16.0,209.0,15.9375,42.986683651804924,0.625,43.002006351947784,114.79322171211243
201.0,0.5820839405059814,144,16.0,210.0,12.5625,32.92809307575226,0.8125,32.94116076827049,92.27863073348999
195.0,0.42058444023132324,145,16.0,212.0,12.1875,30.263741835951805,0.8125,30.33674532175064,72.46605634689331
188.0,0.382504940032959,146,16.0,213.0,11.75,26.694358319044113,0.8125,26.706474125385284,66.05282354354858
243.0,0.5393760204315186,147,16.0,215.0,15.1875,39.62307472527027,0.6875,39.63813078403473,94.17203092575073
198.0,0.40315723419189453,148,16.0,216.0,12.375,32.99375520646572,0.75,33.00651961565018,105.18267107009888
169.0,0.4630160331726074,149,16.0,218.0,10.5625,25.91930729150772,0.8125,25.930981367826462,77.38786888122559
133.0,0.45284438133239746,150,16.0,218.0,8.3125,21.92825159430504,0.9375,21.93842163681984,72.57608699798584
