method,success_count,task_count,success_rate,seen_success_count,seen_task_count,seen_success_rate,unseen_success_count,unseen_task_count,unseen_success_rate,macro_success_rate
tau0.050,224,274,0.8175182481751825,117,140,0.8357142857142857,107,134,0.7985074626865671,0.8171108742004265
tau0.075,220,274,0.8029197080291971,115,140,0.8214285714285714,105,134,0.7835820895522388,0.8025053304904051
tau0.100,238,274,0.8686131386861314,123,140,0.8785714285714286,115,134,0.8582089552238806,0.8683901918976547
tau0.125,226,274,0.8248175182481752,118,140,0.8428571428571429,108,134,0.8059701492537313,0.8244136460554371
