branch,branch_label,step,success_count,task_count,success_rate,success_rate_percent,seen_success_count,unseen_success_count,engine_num,provenance,source,source_sha256
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,80,126,274,0.45985401459854014,45.98540145985402,60,66,4,shared-original-step80,runs/experiments/warmup_boundary_full274_lyg_seed42/entropy_adaptive_v1_t0100/step_80_seed42/summary.json,b074243001928c8aedfc729c13ae42780e606405bfbc2e797c4626cb652f736b
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,100,167,274,0.6094890510948905,60.94890510948905,87,80,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_100_seed42/summary.json,034d30edbdf03a1dd8f80020dfb34c1b404a82b945217742852bfff3e7f192b3
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,120,191,274,0.6970802919708029,69.7080291970803,105,86,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_120_seed42/summary.json,ee3514d7cbace53506a09d740b74d07387191e9366affa8b09c6fba9706c2577
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,140,223,274,0.8138686131386861,81.38686131386861,114,109,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_140_seed42/summary.json,0c1fb0187827cd2c30c5adf53bee4ac30401bd962a5af03da60557e622c28aee
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,160,222,274,0.8102189781021898,81.02189781021897,118,104,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_160_seed42/summary.json,2a48aabfef5458914986fb6ac41ff219139dc406db9fbdf6b7b5f83fa4f6a4f4
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,180,217,274,0.791970802919708,79.1970802919708,112,105,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_180_seed42/summary.json,eee766b6db4bd0fbb65e73651d2ae03608e992136121273e94be6868a11d9163
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,200,219,274,0.7992700729927007,79.92700729927007,116,103,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_200_seed42/summary.json,08d4169a9ca67d01baefb7f0508305f68fe600214958b7a9ad80a7869ddc2787
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,220,223,274,0.8138686131386861,81.38686131386861,117,106,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_220_seed42/summary.json,b945464c8a7fbeae7ddb52203f25ae6460330d9531653cd6a64eb2e7bb450ac1
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,240,226,274,0.8248175182481752,82.48175182481752,121,105,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_240_seed42/summary.json,2fb1d7053ef121c2b84fd62221c16629b20bc3c29fd59fe13411b5d02447b7ee
cosine_to_t0175,Cosine anneal to \tau=0.175 by step 160,250,225,274,0.8211678832116789,82.11678832116789,117,108,4,new-post80-evaluation,runs/experiments/recent_three_post80_full274_seed42/cosine_to_t0175/step_250_seed42/summary.json,beffd84a6543bd17a2def079ecd87def3a73c784736b9f02ffac461ce8b9c356
tcod_f2b,TCOD F2B,20,57,274,0.20802919708029197,20.802919708029197,30,27,4,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_20_seed42/summary.json,37db1be1e1819185417ea59c3519566cb18542d6f84d3477f7eb92344f547652
tcod_f2b,TCOD F2B,40,98,274,0.35766423357664234,35.76642335766424,48,50,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_40_seed42/summary.json,d7e5bf82f0690fc9fc7360adc071ed6f217bc11236c078b3a4b4bd260e860ff6
tcod_f2b,TCOD F2B,60,142,274,0.5182481751824818,51.82481751824818,78,64,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/tcod_f2b/step_60_seed42/summary.json,dd8176a9d056e0a2c3b8d1884e22421f7c37e2f72131962407be782e7e18eceb
tcod_f2b,TCOD F2B,80,122,274,0.44525547445255476,44.52554744525548,67,55,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/tcod_f2b/step_80_seed42/summary.json,298f96cf55fd87f7ae4f15ee63dfb09217072a0034f53facc954bb6690bc65cd
tcod_f2b,TCOD F2B,100,169,274,0.6167883211678832,61.67883211678832,83,86,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/tcod_f2b/step_100_seed42/summary.json,6447ec050dc863ed010eed2f721ac38867f5a170d08302f41edc8cfc92cf1caa
tcod_f2b,TCOD F2B,120,177,274,0.6459854014598541,64.59854014598541,96,81,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_120_seed42/summary.json,fa121be64c2b757fbd3645cfa13bab5f542042d9d356aec9d31c38fddec33249
tcod_f2b,TCOD F2B,140,199,274,0.7262773722627737,72.62773722627736,106,93,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_140_seed42/summary.json,b14f64139457f5747491350ed99b2bb0fea9413d9ae577b01dc7f61b04d1f37f
tcod_f2b,TCOD F2B,160,206,274,0.7518248175182481,75.18248175182481,107,99,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_160_seed42/summary.json,7a952303e045c9ff0d2e53db108eba8c040992c369bd42bed99f50b4d7c157c6
tcod_f2b,TCOD F2B,180,212,274,0.7737226277372263,77.37226277372264,109,103,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_180_seed42/summary.json,df2538534d9a13dc2f7880ac422967d174ec5eab538edb4148d656fac235d825
tcod_f2b,TCOD F2B,200,234,274,0.8540145985401459,85.40145985401459,124,110,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_200_seed42/summary.json,3bf7c3e3f6d44b5ae25887b4b51978ad33931de173784758cb97b39f93b9a763
tcod_f2b,TCOD F2B,220,227,274,0.8284671532846716,82.84671532846716,120,107,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_220_seed42/summary.json,d3e6fac67c276caf93279828290fe802a684cf5b9c066d9de8fe469156268874
tcod_f2b,TCOD F2B,240,233,274,0.8503649635036497,85.03649635036497,122,111,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/tcod_f2b/step_240_seed42/summary.json,5555eb37e22e227b9f38faeaab4ac90c29198cb0ebc59658f37b9ecf5adc3286
tcod_f2b,TCOD F2B,250,232,274,0.8467153284671532,84.67153284671532,122,110,4,existing-all-checkpoint-curve,results/evaluations/2026-08-08_tcod-f2b-qwen25-3b-step250-full274-h30-accmemory-strict/evaluation/full274_h30/summary.json,295b858a3b34505346da44e922757f8f6ed0275c30aee2e2b4bfc8d0039cc9a0
vanilla_opd,Vanilla OPD,20,34,274,0.12408759124087591,12.408759124087592,19,15,4,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_20_seed42/summary.json,c24ddbbef5f133f839355cc324ada182c3d5da96816a4245d7519f3f40e91945
vanilla_opd,Vanilla OPD,40,97,274,0.354014598540146,35.4014598540146,51,46,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_40_seed42/summary.json,a3e9f84109db1a58ac80b8632b9a9e6c18ffeee4153b0a0b9b2f2bd53d72c995
vanilla_opd,Vanilla OPD,60,92,274,0.3357664233576642,33.57664233576642,53,39,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/vanilla_opd/step_60_seed42/summary.json,5b009d01476b6f9d6b382b6f553fb09c944f428e7d783b68ebb016de8c5e0f29
vanilla_opd,Vanilla OPD,80,126,274,0.45985401459854014,45.98540145985402,66,60,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/vanilla_opd/step_80_seed42/summary.json,4e95b92af8ce9c8af1764517a5e16cbfa49e64b956fbe419229b55768c0e1b18
vanilla_opd,Vanilla OPD,100,133,274,0.4854014598540146,48.54014598540146,67,66,4,existing-all-checkpoint-curve,runs/experiments/warmup_boundary_full274_lyg_seed42/vanilla_opd/step_100_seed42/summary.json,5ae0338e7c8331cb39afc974b73e797c0b00f8dee0a87bdfffe39e70f1907f70
vanilla_opd,Vanilla OPD,120,178,274,0.6496350364963503,64.96350364963503,98,80,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_120_seed42/summary.json,01d81b10c03ba1920409fff8cdc12ea3c7aae58125b57c1b8410fe58a572803d
vanilla_opd,Vanilla OPD,140,191,274,0.6970802919708029,69.7080291970803,102,89,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_140_seed42/summary.json,f55fcedcba68c0f941d2d4fec4a836d9f925ea6cdbab60839a4cd868d0ca3182
vanilla_opd,Vanilla OPD,160,209,274,0.7627737226277372,76.27737226277372,107,102,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_160_seed42/summary.json,e5de07a3c0c9366741f09718e9d9edfebe912eb7cd46cf97005d3cb9a580eede
vanilla_opd,Vanilla OPD,180,225,274,0.8211678832116789,82.11678832116789,116,109,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_180_seed42/summary.json,9a618f3f065557e76cbdab249017070ac404010bc10adafe5b065538bd1ba27d
vanilla_opd,Vanilla OPD,200,226,274,0.8248175182481752,82.48175182481752,119,107,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_200_seed42/summary.json,05aa88a4a9a6592817d7422ad85a6c9e0ba212a49be9feb0529f77af5cb70d65
vanilla_opd,Vanilla OPD,220,224,274,0.8175182481751825,81.75182481751825,115,109,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_220_seed42/summary.json,1a8f5b887e2e51f821c1e6455944f80af3995fc3c3ebefb690c64e9fab239aff
vanilla_opd,Vanilla OPD,240,227,274,0.8284671532846716,82.84671532846716,122,105,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/vanilla_opd/step_240_seed42/summary.json,5193defa89ac3c2375c00062630c783bc0183f6821aa1c7a1bfd7202826b2994
vanilla_opd,Vanilla OPD,250,218,274,0.7956204379562044,79.56204379562044,115,103,4,existing-all-checkpoint-curve,results/evaluations/2026-08-09_vanilla-opd-qwen25-3b-step250-full274-h30-accmemory-strict/evaluation/full274_h30/summary.json,fd3fe61e71fc48cf12643fcc8ac1d9075bc3fd35294153670fb6157e00582a89
entropy_adaptive_v1_t0100,Adaptive v1 (\tau=0.100),20,40,274,0.145985401459854,14.5985401459854,23,17,5,existing-all-checkpoint-curve,runs/experiments/all_checkpoint_full274_seed42/entropy_adaptive_v1_t0100/step_20_seed42/summary.json,839e0d61570183cfa9c86754f908438e966d38239dd9594df9b34c37dfaaaf84
