method,explorer_batch,trajectory_count,model_version_mean,matched_done_reward,audited_task_success,matched_done_reward_smooth,matched_done_reward_cumulative,audited_task_success_smooth,audited_task_success_cumulative
Vanilla OPD,67,16,97.0,0.5,,0.4097222222222222,0.31343283582089554,,
Vanilla OPD,68,16,98.0,0.4375,,0.3819444444444444,0.31525735294117646,,
Vanilla OPD,69,16,100.0,0.25,,0.4027777777777778,0.31431159420289856,,
Vanilla OPD,70,16,101.0,0.375,,0.4097222222222222,0.3151785714285714,,
Vanilla OPD,71,16,100.0,0.625,,0.3888888888888889,0.31954225352112675,,
Vanilla OPD,72,16,101.0,0.3125,,0.3888888888888889,0.3194444444444444,,
Vanilla OPD,73,16,103.0,0.375,,0.3888888888888889,0.3202054794520548,,
Vanilla OPD,74,16,104.0,0.4375,,0.4375,0.3217905405405405,,
Vanilla OPD,75,16,105.0,0.1875,,0.4722222222222222,0.32,,
Vanilla OPD,76,16,107.0,0.5,,0.4722222222222222,0.3223684210526316,,
Vanilla OPD,77,16,108.0,0.4375,,0.5,0.32386363636363635,,
Vanilla OPD,78,16,110.0,0.6875,,0.5208333333333334,0.328525641025641,,
Vanilla OPD,79,16,111.0,0.6875,,0.5416666666666666,0.33306962025316456,,
Vanilla OPD,80,16,113.0,0.625,,0.5763888888888888,0.33671875,,
Vanilla OPD,81,16,115.0,0.5625,,0.5902777777777778,0.3395061728395062,,
Vanilla OPD,82,16,116.0,0.5625,,0.625,0.34222560975609756,,
Vanilla OPD,83,16,118.0,0.625,,0.6319444444444444,0.34563253012048195,,
Vanilla OPD,84,16,119.0,0.5,,0.6319444444444444,0.3474702380952381,,
Vanilla OPD,85,16,121.0,0.625,,0.6388888888888888,0.35073529411764703,,
Vanilla OPD,86,16,121.0,0.75,,0.6388888888888888,0.3553779069767442,,
Vanilla OPD,87,16,123.0,0.75,,0.6388888888888888,0.3599137931034483,,
Vanilla OPD,88,16,124.0,0.6875,,0.6319444444444444,0.36363636363636365,,
Vanilla OPD,89,16,126.0,0.6875,,0.6597222222222222,0.3672752808988764,,
Vanilla OPD,90,16,127.0,0.5625,,0.6805555555555556,0.36944444444444446,,
Vanilla OPD,91,16,120.0,0.5625,,0.6527777777777778,0.3715659340659341,,
Vanilla OPD,92,16,121.0,0.5625,,0.6597222222222222,0.3736413043478261,,
Vanilla OPD,93,16,123.0,0.75,,0.6736111111111112,0.37768817204301075,,
Vanilla OPD,94,16,124.0,0.8125,,0.6597222222222222,0.38231382978723405,,
Vanilla OPD,95,16,126.0,0.5,,0.6597222222222222,0.38355263157894737,,
Vanilla OPD,96,16,127.0,0.8125,,0.6805555555555556,0.3880208333333333,,
Vanilla OPD,97,16,129.0,0.8125,,0.6805555555555556,0.39239690721649484,,
Vanilla OPD,98,16,130.0,0.5625,,0.6805555555555556,0.39413265306122447,,
Vanilla OPD,99,16,132.0,0.5625,,0.6666666666666666,0.3958333333333333,,
Vanilla OPD,100,16,133.0,0.75,,0.6944444444444444,0.399375,,
Vanilla OPD,101,16,135.0,0.5625,,0.6736111111111112,0.400990099009901,,
Vanilla OPD,102,16,136.0,0.75,,0.6666666666666666,0.40441176470588236,,
Vanilla OPD,103,16,138.0,0.6875,,0.6875,0.4071601941747573,,
Vanilla OPD,104,16,139.0,0.75,,0.7083333333333334,0.4104567307692308,,
Vanilla OPD,105,16,141.0,0.625,,0.6805555555555556,0.4125,,
Vanilla OPD,106,16,142.0,0.75,,0.6944444444444444,0.41568396226415094,,
Vanilla OPD,107,16,144.0,0.75,,0.6805555555555556,0.41880841121495327,,
Vanilla OPD,108,16,145.0,0.75,,0.6736111111111112,0.421875,,
Vanilla OPD,109,16,147.0,0.5,,0.6458333333333334,0.42259174311926606,,
Vanilla OPD,110,16,148.0,0.6875,,0.6458333333333334,0.425,,
Vanilla OPD,111,16,150.0,0.625,,0.6458333333333334,0.42680180180180183,,
Vanilla OPD,112,16,151.0,0.625,,0.6319444444444444,0.42857142857142855,,
Vanilla OPD,113,16,153.0,0.5,,0.625,0.42920353982300885,,
Vanilla OPD,114,16,154.0,0.625,,0.6527777777777778,0.4309210526315789,,
Vanilla OPD,115,16,156.0,0.75,,0.6458333333333334,0.43369565217391304,,
Vanilla OPD,116,16,157.0,0.625,,0.6666666666666666,0.4353448275862069,,
Vanilla OPD,117,16,159.0,0.6875,,0.6805555555555556,0.4375,,
Vanilla OPD,118,16,160.0,0.75,,0.7083333333333334,0.4401483050847458,,
Vanilla OPD,119,16,162.0,0.625,,0.7222222222222222,0.4417016806722689,,
Vanilla OPD,120,16,163.0,0.8125,,0.7152777777777778,0.44479166666666664,,
Vanilla OPD,121,16,165.0,0.75,,0.7361111111111112,0.44731404958677684,,
